,,supermarkets,"supermercado"
,,at,"de"
,,at,"por"
,,at,"en"
,,at,"hasta"
,,at,"con"
,,at,"a"
,,at,"encabezando"
,,at,"almenos"
,,at,"al"
,,at,"lo"
,,over,"respecto"
,,over,"reiteradamente"
,,over,"de"
,,over,"cargo"
,,over,"por"
,,over,"encima"
,,over,"en"
,,over,"problemas"
,,over,"termino"
,,over,"sobrepasando"
,,over,"cambio"
,,over,"sobre"
,,over,"a"
,,over,"control"
,,over,"través"
,,over,"lo"
,,over,"excesivas"
,,over,"acabarse"
,,over,"los"
,,over,"la"
,,over,"largo"
,,over,"ante"
,,over,"con"
,,over,"situación"
,,over,"durante"
,,over,"ocurrido"
,,past,"último"
,,past,"últimos"
,,past,"allá"
,,past,"pasado"
,,analysts,"los"
,,analysts,"varios"
,,analysts,"analistas"
,,analysts,"analista"
,,analysts,"análisis"
,,warned,"advertido"
,,warned,"avisado"
,,warned,"advirtió"
,,warned,"alertado"
,,warned,"advertí"
,,warned,"de"
,,warned,"informado"
,,that,"eso"
,,that,"respecto"
,,that,"ese"
,,that,"dicha"
,,that,"asi"
,,that,"esos"
,,that,"que"
,,that,"queque"
,,that,"así"
,,that,"lesa"
,,that,"para"
,,that,"el"
,,that,"hecho"
,,that,"aquél"
,,that,"de"
,,that,"por"
,,that,"cual"
,,that,"en"
,,that,"éste"
,,that,"a"
,,that,"ello"
,,that,"esto"
,,that,"porque"
,,that,"como"
,,that,"semejante"
,,that,"allí"
,,that,"tales"
,,that,"quienes"
,,that,"dice"
,,that,"este"
,,that,"tan"
,,increase,"aumentarán"
,,increase,"incrementar"
,,increase,"crecimiento"
,,increase,"aumento"
,,increase,"incrementarán"
,,increase,"aumentan"
,,increase,"incrementando"
,,increase,"incremento"
,,increase,"aumentando"
,,increase,"subida"
,,increase,"aumentar"
,,increase,"creciendo"
,,increase,"subiendo"
,,increase,"encarecimiento"
,,increase,"la"
,,increase,"incrementos"
,,increase,"encarecen"
,,increase,"el"
,,increase,"incrementaran"
,,making,"poniendo"
,,making,"hace"
,,making,"sea"
,,making,"aseguraba"
,,making,"haciendo"
,,making,"hacer"
,,making,"que"
,,making,"lo"
,,it,"eso"
,,it,"sea"
,,it,"respecto"
,,it,"es"
,,it,"éste"
,,it,"ponerle"
,,it,"que"
,,it,"su"
,,it,"él"
,,it,"lo"
,,it,"ello"
,,it,"se"
,,it,"mitigarlo"
,,it,"esto"
,,it,"cosas"
,,it,"las"
,,it,"maldición"
,,it,"la"
,,it,"depende"
,,it,"the"
,,it,"ellas"
,,hard,"insistencia"
,,hard,"fuerte"
,,hard,"sea"
,,hard,"muy"
,,hard,"más"
,,hard,"duro"
,,hard,"complicado"
,,hard,"difícil"
,,hard,"dificil"
,,hard,"pared"
,,hard,"dificulta"
,,hard,"que"
,,hard,"renegar"
,,hard,"difíciles"
,,england,"inglés"
,,england,"england"
,,england,"inglaterra"
,,cut,"recorte"
,,cut,"reducción"
,,cut,"baje"
,,cut,"cortar"
,,cut,"herida"
,,cut,"recortar"
,,cut,"reducir"
,,cut,"bajar"
,,cut,"rebaje"
,,cut,"corte"
,,cut,"cortado"
,,cut,"reducirían"
,,rates,"las"
,,rates,"de"
,,rates,"tarifas"
,,rates,"tasas"
,,rates,"tipos"
,,rates,"niveles"
,,rates,"los"
,,rates,"tasa"
,,rates,"índices"
,,rates,"precios"
,,interest,"curiosidad"
,,interest,"de"
,,interest,"interés"
,,interest,"interesa"
,,interest,"intereses"
,,struggles,"problemas"
,,struggles,"luchas"
,,struggles,"lucha"
,,struggles,"su"
,,struggles,"esfuerzan"
,,keep,"seguir"
,,keep,"continuas"
,,keep,"contener"
,,keep,"quedar"
,,keep,"continúan"
,,keep,"guardar"
,,keep,"evitar"
,,keep,"sigue"
,,keep,"continuarán"
,,keep,"mantener"
,,keep,"tener"
,,keep,"entretener"
,,keep,"seguirán"
,,keep,"mantenerse"
,,keep,"mantengan"
,,keep,"permanecer"
,,keep,"vigilar"
,,keep,"quedarse"
,,keep,"mantienen"
,,keep,"mantiene"
,,under,"se"
,,under,"bajo"
,,under,"cuando"
,,under,"vive"
,,under,"debajo"
,,under,"en"
,,under,"siguiendo"
,,under,"lugar"
,,under,"un"
,,under,"a"
,,control,"controlar"
,,control,"control"
,,control,"controlarlo"
,,inflation,"de"
,,inflation,"inflacion"
,,inflation,"la"
,,inflation,"inflación"
,,inflation,"una"
,,inflation,"infación"
,,inflation,"inflacción"
,,economy,"economia"
,,economy,"económica"
,,economy,"economía"
,,make,"argumentar"
,,make,"si"
,,make,"fajar"
,,make,"tornar"
,,make,"producir"
,,make,"brindar"
,,make,"cometer"
,,make,"lograr"
,,make,"formar"
,,make,"sobreviva"
,,make,"causar"
,,make,"hacer"
,,make,"marcar"
,,make,"hará"
,,make,"esto"
,,make,"hace"
,,make,"dificultará"
,,make,"hagan"
,,make,"empeorar"
,,make,"invento"
,,make,"hacen"
,,make,"poner"
,,make,"ganar"
,,make,"obligar"
,,make,"armar"
,,make,"conseguir"
,,matters,"cuestiones"
,,matters,"cosas"
,,matters,"las"
,,matters,"asuntos"
,,matters,"fuera"
,,matters,"la"
,,matters,"situación"
,,matters,"importa"
,,worse,"más"
,,worse,"empeorar"
,,worse,"peor"
,,worse,"poco"
,,worse,"peores"
,,worse,"aún"
,,worse,"difíciles"
,,escalating,"escalando"
,,escalating,"escala"
,,escalating,"subidas"
,,escalating,"subida"
,,escalating,"las"
,,escalating,"aumento"
,,escalating,"escalada"
,,escalating,"de"
,,escalating,"suben"
,,escalating,"en"
,,escalating,"la"
,,escalating,"que"
,,escalating,"el"
,,racing,"carrera"
,,racing,"de"
,,racing,"escalada"
,,racing,"por"
,,racing,"subiendo"
,,racing,"corriendo"
,,racing,"en"
,,racing,"la"
,,racing,"carreras"
,,racing,"una"
,,ahead,"se"
,,ahead,"adelanta"
,,ahead,"un"
,,ahead,"más"
,,ahead,"paso"
,,ahead,"adelante"
,,ahead,"adelantando"
,,ahead,"por"
,,ahead,"encima"
,,ahead,"antes"
,,ahead,"en"
,,ahead,"delante"
,,ahead,"futuro"
,,ahead,"una"
,,ahead,"mayor"
,,ahead,"que"
,,ahead,"anteponer"
,,increases,"subidas"
,,increases,"unos"
,,increases,"aumenta"
,,increases,"incrementa"
,,increases,"aumento"
,,increases,"carrera"
,,increases,"de"
,,increases,"aumentos"
,,increases,"por"
,,increases,"en"
,,increases,"incremento"
,,increases,"un"
,,increases,"esta"
,,increases,"subida"
,,increases,"las"
,,increases,"los"
,,increases,"la"
,,increases,"incrementos"
,,increases,"una"
,,increases,"del"
,,increases,"al"
,,salary,"salario"
,,salary,"sueldo"
,,salary,"salariales"
,,salary,"de"
,,salary,"salarial"
,,salary,"del"
,,salary,"por"
,,salary,"los"
,,salary,"en"
,,salary,"pago"
,,salary,"paga"
,,salary,"sueldos"
,,salary,"salarios"
,,especially,"particularmente"
,,especially,"en"
,,especially,"caso"
,,especially,"todo"
,,especially,"especialmente"
,,especially,"especial"
,,especially,"el"
,,those,"aquél"
,,those,"de"
,,those,"cuanto"
,,those,"en"
,,those,"caso"
,,those,"trabajadores"
,,those,"esos"
,,those,"sueldos"
,,those,"que"
,,those,"dichas"
,,those,"a"
,,those,"las"
,,those,"aquellos"
,,those,"esas"
,,those,"quienes"
,,those,"los"
,,those,"estos"
,,those,"el"
,,nurses,"los"
,,nurses,"enfermeras"
,,nurses,"enfermera"
,,nurses,"las"
,,nurses,"infermeras"
,,nurses,"enfermeros"
,,other,"demás"
,,other,"otras"
,,other,"funcionario"
,,other,"de"
,,other,"resto"
,,other,"del"
,,other,"otra"
,,other,"otros"
,,other,"que"
,,other,"otro"
,,other,"el"
,,professionals,"profesional"
,,professionals,"de"
,,professionals,"facultativos"
,,professionals,"profesionales"
,,professionals,"entrenados"
,,healthcare,"salud"
,,healthcare,"de"
,,healthcare,"sanitarios"
,,healthcare,"médica"
,,healthcare,"seguridad"
,,healthcare,"la"
,,healthcare,"sector"
,,healthcare,"sanitario"
,,healthcare,"sanidad"
,,healthcare,"del"
,,healthcare,"sanitaria"
,,healthcare,"social"
,,who,"cuales"
,,who,"éstos"
,,who,"quienes"
,,who,"los"
,,who,"quién"
,,who,"quien"
,,who,"que"
,,who,"cuyas"
,,insistence,"insistencia"
,,insistence,"decisión"
,,insistence,"reiteradamente"
,,insistence,"instancias"
,,insistence,"salariales"
,,insistence,"las"
,,insistence,"carne"
,,insistence,"insistir"
,,insistence,"propia"
,,insistence,"en"
,,insistence,"decisiones"
,,insistence,"la"
,,insistence,"insistencias"
,,insistence,"bajadas"
,,insistence,"insistió"
,,government,"británico"
,,government,"de"
,,government,"gubernamentales"
,,government,"dirigentes"
,,government,"gobierno"
,,government,"gobiernos"
,,government,"este"
,,government,"país"
,,government,"sudanés"
,,government,"gubernamental"
,,government,"el"
,,sector,"zona"
,,sector,"séctor"
,,sector,"sector"
,,sector,"sanitario"
,,sector,"sectores"
,,sector,"del"
,,sector,"al"
,,public,"públicas"
,,public,"público"
,,public,"públicos"
,,public,"pública"
,,receive,"recibe"
,,receive,"percibir"
,,receive,"recibirá"
,,receive,"reciban"
,,receive,"recibir"
,,bills,"las"
,,bills,"cuentas"
,,bills,"de"
,,bills,"recibos"
,,bills,"los"
,,bills,"precio"
,,bills,"la"
,,bills,"precios"
,,bills,"billetes"
,,bills,"factura"
,,bills,"facturas"
,,bills,"el"
,,electricity,"la"
,,electricity,"electricidad"
,,electricity,"eléctrica"
,,electricity,"de"
,,electricity,"luz"
,,soaring,"volando"
,,soaring,"subida"
,,soaring,"aumento"
,,soaring,"alza"
,,soaring,"de"
,,soaring,"alarmante"
,,soaring,"manera"
,,soaring,"subiendo"
,,soaring,"irritantes"
,,soaring,"sufrido"
,,soaring,"en"
,,soaring,"encarecen"
,,soaring,"aumentando"
,,soaring,"planeando"
,,soaring,"una"
,,soaring,"subido"
,,soaring,"han"
,,five,"veinticinco"
,,five,"de"
,,five,"cinco"
,,five,"hecho"
,,five,"quinientos"
,,six,"seis"
,,six,"six"
,,six,"dos"
,,suppliers,"abastecedores"
,,suppliers,"de"
,,suppliers,"energía"
,,suppliers,"proveedores"
,,suppliers,"compañías"
,,suppliers,"este"
,,suppliers,"servicio"
,,suppliers,"suministradores"
,,suppliers,"proveedor"
,,largest,"principales"
,,largest,"más"
,,largest,"de"
,,largest,"grande"
,,largest,"los"
,,largest,"grandes"
,,largest,"importantes"
,,largest,"mayor"
,,largest,"mayores"
,,increased,"aumento"
,,increased,"incrementado"
,,increased,"aumentado"
,,increased,"incrementando"
,,increased,"incremento"
,,increased,"aumentando"
,,increased,"augmento"
,,increased,"subido"
,,increased,"a"
,,increased,"aumentaron"
,,increased,"incrementaran"
,,customers,"consumidores"
,,customers,"clientes"
,,customers,"a"
,,customers,"cliente"
,,customers,"clientas"
,,reluctant,"se"
,,reluctant,"dispuestos"
,,reluctant,"renuente"
,,reluctant,"particularmente"
,,reluctant,"reacia"
,,reluctant,"reticentes"
,,reluctant,"reacios"
,,reluctant,"reticientes"
,,reluctant,"reacio"
,,reluctant,"oponen"
,,reluctant,"opongan"
,,reluctant,"no"
,,reluctant,"renuentes"
,,reluctant,"reticente"
,,action,"medidas"
,,action,"las"
,,action,"medidades"
,,action,"pero"
,,action,"lucha"
,,action,"acciones"
,,action,"la"
,,action,"es"
,,action,"también"
,,action,"que"
,,action,"cierto"
,,action,"acción"
,,on,"ven"
,,on,"de"
,,on,"tras"
,,on,"por"
,,on,"encima"
,,on,"en"
,,on,"contra"
,,on,"con"
,,on,"a"
,,on,"del"
,,on,"sobre"
,,on,"el"
,,not,"ni"
,,not,"no"
,,not,"sin"
,,least,"que"
,,least,"los"
,,least,"lo"
,,least,"menos"
,,least,"menor"
,,least,"almenos"
,,least,"durante"
,,least,"mínimo"
,,nurse,"enfermería"
,,nurse,"enfermera"
,,nurse,"enfemero"
,,nurse,"de"
,,nurse,"enfermero"
,,nurse,"enfermer"
,,nurse,"enfermeras"
,,nurse,"la"
,,nurse,"asesino"
,,nurse,"un"
,,nurse,"el"
,,killer,"killer"
,,killer,"asesino"
,,killer,"asesinos"
,,killer,"el"
,,killer,"asesina"
,,receives,"asesinato"
,,receives,"reciba"
,,receives,"ha"
,,receives,"por"
,,receives,"condemnado"
,,receives,"condenada"
,,receives,"recibe"
,,receives,"condenado"
,,receives,"es"
,,receives,"condenan"
,,receives,"con"
,,receives,"sido"
,,receives,"recibió"
,,receives,"para"
,,receives,"a"
,,receives,"el"
,,four,"four"
,,four,"cuatro"
,,four,"cuarto"
,,four,"de"
,,four,"a"
,,life,"perpetuas"
,,life,"vivir"
,,life,"de"
,,life,"cadena"
,,life,"por"
,,life,"perpétua"
,,life,"vidas"
,,life,"perpétuas"
,,life,"cadenas"
,,life,"perpetua"
,,life,"vida"
,,life,"condenas"
,,sentences,"perpetuas"
,,sentences,"sentencias"
,,sentences,"cadena"
,,sentences,"oraciones"
,,sentences,"penas"
,,sentences,"cadenas"
,,sentences,"perpétuas"
,,sentences,"perpetua"
,,sentences,"frases"
,,sentences,"condenas"
,,hospital,"hospital"
,,hospital,"hospitalario"
,,hospital,"hospitalaria"
,,hospital,"de"
,,hospital,"hospitales"
,,hospital,"doctor"
,,hospital,"clínica"
,,hospital,"del"
,,hospital,"un"
,,hospital,"el"
,,colin,"colín"
,,colin,"colin"
,,colin,"collin"
,,norris,"sr"
,,norris,"colin"
,,norris,"norris"
,,norris,"noris"
,,norris,"enfermero"
,,norris,"morris"
,,norris,"a"
,,norris,"el"
,,imprisoned,"prisión"
,,imprisoned,"de"
,,imprisoned,"encarcelados"
,,imprisoned,"encarcelada"
,,imprisoned,"condemnado"
,,imprisoned,"prisionero"
,,imprisoned,"en"
,,imprisoned,"condenado"
,,imprisoned,"encarcelado"
,,imprisoned,"enviado"
,,imprisoned,"sido"
,,imprisoned,"a"
,,today,"ahora"
,,today,"actual"
,,today,"de"
,,today,"el"
,,today,"perpétua"
,,today,"en"
,,today,"día"
,,today,"hoy"
,,killing,"asesinato"
,,killing,"matanza"
,,killing,"muerte"
,,killing,"asesinado"
,,killing,"matar"
,,killing,"matando"
,,killing,"matado"
,,his,"la"
,,his,"las"
,,his,"suya"
,,his,"su"
,,his,"suyas"
,,his,"sus"
,,patients,"paciente"
,,patients,"enfermos"
,,patients,"pacientes"
,,old,"anciana"
,,old,"años"
,,old,"ancianas"
,,old,"edad"
,,old,"tradicionales"
,,old,"viejo"
,,old,"de"
,,old,"viejos"
,,old,"tercera"
,,old,"vieja"
,,old,"ancianos"
,,old,"la"
,,old,"madura"
,,old,"y"
,,old,"a"
,,old,"mayor"
,,old,"mayores"
,,glasgow,"glasgow"
,,glasgow,"escocia"
,,glasgow,"glascow"
,,killed,"mataron"
,,killed,"asesinó"
,,killed,"asesinaba"
,,killed,"asesinado"
,,killed,"matar"
,,killed,"a"
,,killed,"mató"
,,killed,"matado"
,,women,"personas"
,,women,"ancianas"
,,women,"mujeres"
,,women,"mujer"
,,women,"las"
,,women,"chicas"
,,by,"junto"
,,by,"las"
,,by,"de"
,,by,"que"
,,by,"tras"
,,by,"por"
,,by,"en"
,,by,"los"
,,by,"mediante"
,,by,"al"
,,by,"según"
,,by,"a"
,,by,"su"
,,by,"suministrándoles"
,,large,"grandes"
,,large,"gran"
,,large,"importantes"
,,large,"una"
,,large,"excesivas"
,,large,"grande"
,,amounts,"cantidad"
,,amounts,"rastros"
,,amounts,"una"
,,amounts,"cantidades"
,,amounts,"dosis"
,,medicine,"medicamentos"
,,medicine,"medicamento"
,,medicine,"medicinas"
,,medicine,"medicina"
,,sleeping,"durmiendo"
,,sleeping,"somníferos"
,,sleeping,"dormir"
,,sleeping,"duerme"
,,sleeping,"para"
,,yesterday,"en"
,,yesterday,"anoche"
,,yesterday,"ayer"
,,yesterday,"de"
,,yesterday,"el"
,,yesterday,"día"
,,found,"encontrado"
,,found,"encontrados"
,,found,"declarado"
,,found,"descubrió"
,,found,"averiguado"
,,found,"descubierto"
,,found,"consideró"
,,found,"declaró"
,,found,"considerado"
,,found,"hallar"
,,found,"encontrar"
,,found,"hallada"
,,found,"hallado"
,,found,"encontré"
,,found,"encontró"
,,guilty,"inocente"
,,guilty,"culpado"
,,guilty,"culpable"
,,guilty,"culpables"
,,guilty,"culpabilidad"
,,counts,"causas"
,,counts,"imputaciones"
,,counts,"casos"
,,counts,"cuenta"
,,counts,"sentencias"
,,counts,"importa"
,,counts,"cargos"
,,murder,"asesinato"
,,murder,"homicido"
,,murder,"asesinó"
,,murder,"asesina"
,,murder,"crimen"
,,murder,"homicidio"
,,murder,"asesinatos"
,,following,"seguir"
,,following,"siguiente"
,,following,"siguiendo"
,,following,"de"
,,following,"tras"
,,following,"después"
,,long,"tiempo"
,,long,"largo"
,,long,"mientras"
,,long,"mucho"
,,long,"juicio"
,,trial,"judicial"
,,trial,"prueba"
,,trial,"ensayo"
,,trial,"largo"
,,trial,"trayecto"
,,trial,"proceso"
,,trial,"un"
,,trial,"juicio"
,,trial,"tribunal"
,,he,"se"
,,he,"le"
,,he,"chris"
,,he,"dictaminó"
,,he,"norris"
,,he,"escobar"
,,he,"que"
,,he,"a"
,,he,"el"
,,he,"él"
,,he,"lo"
,,one,"aquél"
,,one,"uno"
,,one,"cada"
,,one,"primer"
,,one,"la"
,,one,"una"
,,one,"un"
,,each,"juntos"
,,each,"entre"
,,each,"una"
,,each,"uno"
,,each,"cada"
,,killings,"asesinato"
,,killings,"víctimas"
,,killings,"matanza"
,,killings,"homicidios"
,,killings,"había"
,,killings,"cometido"
,,killings,"asesinaba"
,,killings,"crímenes"
,,killings,"muertes"
,,killings,"crimen"
,,killings,"que"
,,killings,"asesinatos"
,,serve,"estar"
,,serve,"cumplir"
,,serve,"prisión"
,,serve,"sirvan"
,,serve,"encerrada"
,,serve,"permanecer"
,,serve,"en"
,,serve,"condena"
,,serve,"priosión"
,,serve,"sirvo"
,,serve,"encarcelado"
,,serve,"que"
,,serve,"sirven"
,,serve,"servir"
,,officer,"policía"
,,officer,"funcionario"
,,officer,"of"
,,officer,"de"
,,officer,"oficial"
,,officer,"comisario"
,,officer,"cuerpo"
,,officer,"agente"
,,officer,"del"
,,officer,"el"
,,police,"policia"
,,police,"policía"
,,police,"ha"
,,police,"de"
,,police,"el"
,,police,"policial"
,,chris,"kris"
,,chris,"chris"
,,chris,"cris"
,,gregg,"greg"
,,gregg,"cregg"
,,gregg,"esa"
,,gregg,"gregg"
,,said,"manifestó"
,,said,"declaró"
,,said,"ha"
,,said,"de"
,,said,"dijo"
,,said,"informó"
,,said,"dice"
,,said,"afirmado"
,,said,"declado"
,,said,"dicha"
,,said,"dicho"
,,said,"dichas"
,,said,"dichos"
,,said,"dije"
,,had,"tuvo"
,,had,"se"
,,had,"tenían"
,,had,"había"
,,had,"sufrido"
,,had,"habían"
,,had,"tenido"
,,had,"bebido"
,,had,"tenía"
,,had,"estuvo"
,,been,"se"
,,been,"intentado"
,,been,"estado"
,,been,"revisado"
,,been,"ser"
,,been,"sufrido"
,,been,"tenido"
,,been,"formado"
,,been,"sido"
,,been,"coincidido"
,,been,"subido"
,,been,"estuvo"
,,been,"lleva"
,,acting,"actuaba"
,,acting,"actuar"
,,acting,"portarse"
,,acting,"mantenido"
,,acting,"actuación"
,,acting,"actuando"
,,acting,"un"
,,acting,"actuado"
,,acting,"comportamiento"
,,strangely,"extrañamente"
,,strangely,"de"
,,strangely,"extraño"
,,strangely,"manera"
,,strangely,"sospechosa"
,,strangely,"extraña"
,,strangely,"forma"
,,strangely,"una"
,,strangely,"sospechoso"
,,around,"en"
,,around,"últimamente"
,,around,"alrededor"
,,around,"cerca"
,,around,"por"
,,around,"vuelco"
,,only,"fue"
,,only,"de"
,,only,"única"
,,only,"únicamente"
,,only,"gracias"
,,only,"solo"
,,only,"al"
,,only,"fueron"
,,only,"a"
,,only,"tan"
,,only,"solamente"
,,only,"que"
,,only,"sólo"
,,only,"hecho"
,,awareness,"se"
,,awareness,"concienciar"
,,awareness,"cuenta"
,,awareness,"perspicacia"
,,awareness,"atención"
,,awareness,"sospechas"
,,awareness,"preocupación"
,,awareness,"conciencia"
,,awareness,"consciencia"
,,awareness,"alarma"
,,awareness,"diera"
,,awareness,"conocimiento"
,,awareness,"hecho"
,,awareness,"acción"
,,staff,"miembros"
,,staff,"trabajador"
,,staff,"equipo"
,,staff,"del"
,,staff,"empleados"
,,staff,"bastón"
,,staff,"sanitario"
,,staff,"trabajadores"
,,staff,"personal"
,,staff,"empleado"
,,staff,"el"
,,put,"decidio"
,,put,"baja"
,,put,"baje"
,,put,"puse"
,,put,"ponerse"
,,put,"pudo"
,,put,"juntar"
,,put,"ponerle"
,,put,"que"
,,put,"lo"
,,put,"edificar"
,,put,"se"
,,put,"le"
,,put,"puso"
,,put,"fue"
,,put,"incluyó"
,,put,"poner"
,,put,"sumar"
,,put,"reclinar"
,,put,"encerrar"
,,put,"invertido"
,,put,"armar"
,,put,"anteponer"
,,him,"le"
,,him,"norris"
,,him,"poniendole"
,,him,"fin"
,,him,"pararle"
,,him,"ponerle"
,,him,"él"
,,him,"lo"
,,learned,"aprendió"
,,learned,"averiguado"
,,learned,"aprender"
,,learned,"descubierto"
,,learned,"aprendido"
,,learned,"aprendí"
,,learned,"sabido"
,,motive,"motivo"
,,motive,"móvil"
,,motive,"motivos"
,,motive,"razón"
,,disliked,"le"
,,disliked,"disgustaba"
,,disliked,"no"
,,disliked,"detestaba"
,,disliked,"desagradaba"
,,disliked,"cometió"
,,disliked,"odiaba"
,,disliked,"gustaba"
,,disliked,"gustaban"
,,disliked,"a"
,,working,"trabajando"
,,working,"le"
,,working,"trabajador"
,,working,"resultando"
,,working,"el"
,,working,"funcionando"
,,working,"gustaba"
,,working,"trabajo"
,,working,"trabajadores"
,,working,"trabajar"
,,working,"trabajan"
,,working,"funciona"
,,working,"trabajen"
,,with,"causa"
,,with,"afectadas"
,,with,"de"
,,with,"por"
,,with,"acompañada"
,,with,"padecían"
,,with,"en"
,,with,"mediante"
,,with,"juntos"
,,with,"que"
,,with,"a"
,,with,"y"
,,with,"conlleva"
,,with,"sus"
,,with,"conmigo"
,,with,"entre"
,,with,"tenían"
,,with,"conllevaron"
,,with,"cerradas"
,,with,"con"
,,with,"del"
,,with,"al"
,,with,"el"
,,victims,"víctimas"
,,victims,"víctima"
,,victims,"victimas"
,,were,"eran"
,,were,"tenían"
,,were,"estabas"
,,were,"habían"
,,were,"estaban"
,,were,"estuviese"
,,were,"resultaron"
,,were,"padecían"
,,were,"era"
,,were,"surgieron"
,,were,"sido"
,,were,"fueron"
,,were,"presentaban"
,,were,"estuvo"
,,were,"fuese"
,,were,"produjeron"
,,weak,"indefensas"
,,weak,"estado"
,,weak,"débiles"
,,weak,"débil"
,,weak,"en"
,,weak,"debilidad"
,,weak,"y"
,,weak,"delicado"
,,problems,"padecían"
,,problems,"problemas"
,,problems,"problema"
,,problems,"dificultades"
,,problems,"comal"
,,problems,"enfermedades"
,,heart,"corazon"
,,heart,"cardíacas"
,,heart,"de"
,,heart,"cardiacos"
,,heart,"cardíacos"
,,heart,"cardíaco"
,,heart,"memoria"
,,heart,"corazón"
,,them,"esto"
,,them,"las"
,,them,"proporcionarles"
,,them,"administrarles"
,,them,"ellos"
,,them,"los"
,,them,"darles"
,,them,"les"
,,them,"una"
,,them,"ellas"
,,them,"suministrándoles"
,,them,"dándoles"
,,them,"suministrarles"
,,could,"se"
,,could,"poder"
,,could,"podrían"
,,could,"podría"
,,could,"deberían"
,,could,"podían"
,,could,"pudieron"
,,could,"pudo"
,,could,"puede"
,,could,"para"
,,could,"posible"
,,could,"pueda"
,,could,"así"
,,could,"podía"
,,could,"podrías"
,,considered,"consideró"
,,considered,"ser"
,,considered,"considerado"
,,considered,"considerarse"
,,considered,"considera"
,,considered,"considerada"
,,considered,"considerados"
,,considered,"consideraba"
,,considered,"considerar"
,,considered,"consideradas"
,,considered,"sido"
,,considered,"considerando"
,,spielberg,"spielberg"
,,spielberg,"director"
,,spielberg,"spilberg"
,,shows,"saca"
,,shows,"aparece"
,,shows,"enseña"
,,shows,"programas"
,,shows,"muestra"
,,shows,"penaliza"
,,shows,"con"
,,shows,"muestran"
,,shows,"a"
,,card,"se"
,,card,"tarjeta"
,,card,"cartas"
,,card,"carta"
,,card,"la"
,,card,"una"
,,card,"targeta"
,,red,"red"
,,red,"roja"
,,red,"rojo"
,,beijing,"le"
,,beijing,"de"
,,beijing,"beijin"
,,beijing,"en"
,,beijing,"juegos"
,,beijing,"pekín"
,,beijing,"beijing"
,,beijing,"pekin"
,,beijing,"a"
,,beijing,"pequín"
,,darfur,"darthfore"
,,darfur,"dafur"
,,darfur,"de"
,,darfur,"darfur"
,,darfur,"darfour"
,,rattle,"ruido"
,,rattle,"atacar"
,,rattle,"atención"
,,rattle,"sonajero"
,,rattle,"la"
,,rattle,"mostrar"
,,rattle,"traqueteo"
,,rattle,"llamar"
,,rattle,"asombrar"
,,rattle,"desacuerdo"
,,rattle,"su"
,,chinese,"chinos"
,,chinese,"chino"
,,chinese,"de"
,,chinese,"china"
,,steven,"stephen"
,,steven,"steven"
,,steven,"spielberg"
,,steven,"steve"
,,olympics,"de"
,,olympics,"olimpiadas"
,,olympics,"los"
,,olympics,"juegos"
,,olympics,"pekín"
,,olympics,"olimpíadas"
,,olympics,"olímpicos"
,,protest,"protesto"
,,protest,"protesta"
,,protest,"protestó"
,,protest,"protestar"
,,against,"de"
,,against,"lesa"
,,against,"por"
,,against,"contrapuesta"
,,against,"en"
,,against,"contra"
,,against,"con"
,,against,"del"
,,against,"que"
,,against,"a"
,,against,"el"
,,backing,"apoyo"
,,backing,"contrapuesta"
,,backing,"la"
,,backing,"hacia"
,,backing,"retrocediendo"
,,backing,"del"
,,backing,"el"
,,backing,"respaldo"
,,china,"gobierno"
,,china,"china"
,,china,"la"
,,china,"chino"
,,china,"al"
,,china,"a"
,,china,"porcelana"
,,policy,"apoyo"
,,policy,"las"
,,policy,"de"
,,policy,"póliza"
,,policy,"la"
,,policy,"políticas"
,,policy,"pólizas"
,,policy,"política"
,,policy,"a"
,,sudan,"sudán"
,,sudan,"sudan"
,,sudan,"sudanés"
,,sudan,"sudaneses"
,,withdrawal,"enfado"
,,withdrawal,"prostesta"
,,withdrawal,"rechazo"
,,withdrawal,"retirada"
,,withdrawal,"retiro"
,,withdrawal,"negativa"
,,withdrawal,"abstinencia"
,,comes,"llegue"
,,comes,"surge"
,,comes,"debida"
,,comes,"tiene"
,,comes,"es"
,,comes,"produjo"
,,comes,"lugar"
,,comes,"produce"
,,comes,"debido"
,,comes,"se"
,,comes,"ha"
,,comes,"aparece"
,,comes,"llega"
,,comes,"coincidido"
,,comes,"viene"
,,comes,"proviene"
,,comes,"conlleva"
,,wake,"raíz"
,,wake,"momento"
,,wake,"justo"
,,wake,"despierte"
,,wake,"lucha"
,,wake,"inicio"
,,wake,"despertar"
,,wake,"contra"
,,wake,"nueva"
,,wake,"despierta"
,,fighting,"se"
,,fighting,"luchar"
,,fighting,"pelear"
,,fighting,"las"
,,fighting,"luchando"
,,fighting,"que"
,,fighting,"lucha"
,,fighting,"pelea"
,,fighting,"la"
,,fighting,"contra"
,,fighting,"peleando"
,,fighting,"combates"
,,fighting,"luchan"
,,fighting,"luchas"
,,again,"resurge"
,,again,"volver"
,,again,"reiteradamente"
,,again,"repetir"
,,again,"de"
,,again,"otra"
,,again,"la"
,,again,"nuevo"
,,again,"nueva"
,,again,"vez"
,,embarrass,"avergonzar"
,,embarrass,"evidencia"
,,embarrass,"avergüence"
,,embarrass,"duda"
,,embarrass,"avergonzarme"
,,embarrass,"mella"
,,embarrass,"de"
,,embarrass,"en"
,,embarrass,"a"
