,Concept_ID,en,es
882,aufstehen::V,get up,levantarse
883,sich erholen::V,relax,reposar
884,sich erholen::V,relax,descansar
885,krank werden::V,fall ill,caer enfermo
886,krank sein::V,be ill,estar enfermo
887,schmerzen::V,ache,doler
888,husten::V,cough,toser
889,genesen::V,recover,convalecer
890,genesen::V,recover,restablecerse
891,sterben::V,die,morir
892,umkommen::V,perish,perecer
893,sich bewegen::V,move,moverse
894,sich rühren::V,budge,rebullir
895,sich erheben::V,stand up,levantarse
896,sich setzen::V,sit down,sentarse
897,hinfallen::V,tumble,caerse
898,laufen::V,walk,andar
899,schreiten::V,pace,proceder
900,spazierengehen::V,go for a walk,pasear
901,spazierengehen::V,go for a walk,pasearse
902,eilen::V,rush,correr prisa
903,sich beeilen::V,hurry,darse prisa
904,sausen::V,dash,correr
905,rennen::V,run,correr
906,springen::V,jump,saltar
907,klettern::V,climb,trepar
908,klettern::V,climb,escalar
909,schaukeln::V,seesaw,bambolearse
910,kriechen::V,creep,reptar
911,kriechen::V,creep,arrastrarse
912,schwimmen::V,swim,nadar
913,tauchen::V,dive,bucear
914,tauchen::V,dive,sumergirse
915,rudern::V,row,remar
916,fahren::V,drive,ir
917,fliegen::V,fly,volar
918,gehen::V,go,ir
919,gehen::V,go,andar
920,weggehen::V,go away,irse
921,weggehen::V,go away,marcharse
922,abfahren::V,depart,salir
923,abfahren::V,depart,partir
924,anhalten::V,stop,parar
925,anhalten::V,stop,pararse
926,hineingehen::V,go in,entrar
927,eintreten::V,enter,entrar
928,kommen::V,come,venir
929,ankommen::V,arrive,llegar
930,zurückkommen::V,come back,volver
931,zurückkommen::V,come back,regresar
932,bleiben::V,stay,quedarse
933,warten::V,wait,esperar
934,erwarten::V,wait for,esperar
935,suchen::V,seek,buscar
936,suchen::V,look for,buscar
937,finden::V,find,hallar
938,finden::V,find,encontrar
939,versuchen::V,try,intentar
940,vorbereiten::V,prepare,preparar
941,lieben::V,love,amar
942,lieben::V,love,querer
943,mögen::V,like,querer
944,lachen::V,laugh,reír
945,rühren::V,move,conmover
946,weinen::V,weep,llorar
947,schimpfen::V,grumble,regañar
948,sich ärgern::V,be annoyed,enfadarse
949,sich fürchten::V,be afraid,tener miedo
950,fürchten::V,be afraid of,temer
951,fürchten::V,be afraid of,tener miedo a
952,fliehen::V,flee,huir
953,flüchten::V,escape,escaparse
954,sehen::V,see,ver
955,anschauen::V,look at,mirar
956,ansehen::V,watch,mirar
957,hören::V,hear,oír
958,zuhören::V,listen,escuchar
959,probieren::V,taste,probar
960,probieren::V,taste,degustar
961,riechen::V,smell,oler
962,fühlen::V,feel,sentir
963,scheinen::V,seem,parecer
964,zu sehen sein::V,show,poder verse
965,vernehmen::V,hear,oír
966,vernehmen::V,hear,percibir
967,frieren::V,be cold,tener frío
968,tun::V,do,hacer
969,können::V,can,poder
970,wollen::V,want,querer
971,anfangen::V,start,iniciar
972,beenden::V,finish,acabar
973,beenden::V,finish,terminar
974,aufhören::V,stop,cesar
975,gelingen::V,succeed,salir bien
976,geraten::V,turn out,salir
977,geraten::V,turn out,dar resultado
978,öffnen::V,open,abrir
979,schließen::V,close,cerrar
980,stellen::V,put,poner
981,stellen::V,put,colocar
982,setzen::V,place,poner
983,setzen::V,place,colocar
984,legen::V,lay,poner
985,berühren::V,touch,tocar
986,verbinden::V,connect,unir
987,verbinden::V,connect,juntar
988,bedecken::V,cover,tapar
989,bedecken::V,cover,cubrir
990,aufhängen::V,hang up,colgar
991,anzünden::V,light,encender
992,aufheben::V,pick up,recoger
993,zurücklassen::V,leave,dejar
994,verlieren::V,lose,perder
995,fallen lassen::V,drop,dejar caer
996,machen::V,make,hacer
997,herstellen::V,produce,fabricar
998,bauen::V,build,construir
999,reparieren::V,mend,reparar
1000,verbessern::V,improve,mejorar
1001,ändern::V,alter,mudar
1002,ändern::V,alter,modificar
1003,graben::V,dig,cavar
1004,beugen::V,bow,doblar
1005,beugen::V,bow,inclinar
1006,biegen::V,bend,doblar
1007,drehen::V,spin,volver
1008,drehen::V,spin,hacer girar
1009,wenden::V,turn,volver
1010,umdrehen::V,turn around,revolver
1011,heben::V,raise,levantar
1012,hochheben::V,lift,alzar
1013,ergreifen::V,seize,coger
1014,halten::V,hold,tener
1015,drücken::V,press,apretar
1016,schieben::V,push,empujar
1017,kratzen::V,scrape,rascar
1018,lecken::V,lick,lamer
1019,beißen::V,bite,morder
1020,abreißen::V,tear off,arrancar
1021,abschneiden::V,cut off,cortar
1022,binden::V,tie,atar
1023,stecken::V,stick,meter
1024,brechen::V,break,romper
1025,brechen::V,break,quebrar
1026,klopfen::V,knock,golpear
1027,hauen::V,hit,pegar
1028,kleben::V,glue,pegar
1029,kleben::V,glue,encolar
1030,reiben::V,rub,frotar
1031,streichen::V,spread,untar
1032,streichen::V,spread,recubrir
1033,schleifen::V,grind,afilar
1034,schneiden::V,cut,cortar
1035,rütteln::V,jolt,agitar
1036,schütteln::V,shake,agitar
1037,schütteln::V,shake,sacudir
1038,schwenken::V,swing,menear
1039,schütten::V,pour,verter
1040,füllen::V,fill,llenar
1041,einwickeln::V,wrap,envolver
1042,tragen::V,carry,llevar
1043,schleppen::V,drag,arrastrar
1044,ziehen::V,pull,tirar
1045,aufbewahren::V,keep,conservar
1046,werfen::V,throw,echar
1047,werfen::V,throw,lanzar
1048,fangen::V,catch,coger
1049,packen::V,grab,agarrar
1050,verstecken::V,hide,esconder
1051,teilen::V,divide,partir
1052,teilen::V,divide,dividir
1053,schicken::V,send,enviar
1054,bringen::V,bring,traer
1055,hinzufügen::V,add,añadir
1056,bekommen::V,get,obtener
1057,bekommen::V,get,conseguir
1058,erhalten::V,receive,recibir
1059,nehmen::V,take,tomar
1060,wählen::V,choose,elegir
1061,auswählen::V,select,escoger
1062,auswählen::V,select,seleccionar
1063,bewahren::V,preserve,guardar
1064,bewahren::V,preserve,preservar
1065,behindern::V,hinder,estorbar
1066,behindern::V,hinder,obstaculizar
1067,verderben::V,spoil,estropear
1068,beschädigen::V,damage,deteriorar
1069,zerbrechen::V,break,romper
1070,zerbrechen::V,break,quebrar
1071,zerreißen::V,tear,desgarrar
1072,zerreißen::V,tear,despedazar
1073,zerstören::V,destroy,destruir
1074,zerstören::V,destroy,destrozar
1075,verbrennen::V,burn,quemar
1076,geben::V,give,dar
1077,reichen::V,hand,pasar
1078,schenken::V,give,regalar
1079,versprechen::V,promise,prometer
1080,wünschen::V,wish,desear
1081,loben::V,praise,alabar
1082,küssen::V,kiss,besar
1083,wiegen::V,rock,mecer
1084,zudecken::V,cover,tapar
1085,zudecken::V,cover,cubrir
1086,wecken::V,wake,despertar
1087,zeigen::V,show,mostrar
1088,führen::V,guide,guiar
1089,führen::V,guide,conducir
1090,lehren::V,teach,enseñar
1091,lehren::V,teach,instruir
1092,unterrichten::V,instruct,enseñar
1093,aufziehen::V,bring up,criar
1094,leiten::V,lead,guiar
1095,leiten::V,lead,dirigir
1096,antreiben::V,urge,impeler
1097,antreiben::V,urge,impulsar
1098,lassen::V,let,hacer
1099,einladen::V,invite,invitar
1100,vereinigen::V,unite,unir
1101,besuchen::V,visit,visitar
1102,besuchen::V,visit,ir a ver
1103,treffen::V,meet,encontrar
1104,sich versammeln::V,assemble,reunirse
1105,sich versammeln::V,assemble,congregarse
1106,spielen::V,play,jugar
1107,singen::V,sing,cantar
1108,tanzen::V,dance,bailar
1109,sich trennen::V,separate,separarse
1110,verlassen::V,leave,dejar
1111,verlassen::V,leave,abandonar
1112,retten::V,rescue,salvar
1113,bewachen::V,guard,vigilar
1114,schützen::V,protect,proteger
1115,verteidigen::V,defend,defender
1116,sich schlagen::V,brawl,batirse
1117,schießen::V,shoot,tirar
1118,schießen::V,shoot,disparar
1119,siegen::V,win,vencer
1120,ärgern::V,annoy,enojar
1121,ärgern::V,annoy,enfadar
1122,schlagen::V,beat,pegar
1123,schlagen::V,beat,golpear
1124,treten::V,kick,dar una patada a
1125,stechen::V,sting,pinchar
1126,stoßen::V,shove,empujar
1127,stehlen::V,steal,robar
1128,stehlen::V,steal,hurtar
1129,stören::V,disturb,molestar
1130,belästigen::V,bother,molestar
1131,belästigen::V,bother,importunar
1132,verbergen::V,conceal,ocultar
1133,verbergen::V,conceal,esconder
1134,täuschen::V,deceive,engañar
1135,betrügen::V,cheat,engañar
1136,töten::V,kill,matar
1137,wohnen::V,dwell,vivir
1138,wohnen::V,dwell,habitar
1139,arbeiten::V,work,trabajar
1140,sammeln::V,gather,recoger
1141,sammeln::V,gather,coleccionar
1142,pflücken::V,pick,coger
1143,jagen::V,hunt,cazar
1144,fischen::V,fish,pescar
1145,fassen::V,catch,atrapar
1146,fassen::V,catch,capturar
1147,hüten::V,herd,guardar
1148,treiben::V,drive,aballar
1149,anbinden::V,tie up,atar
1150,füttern::V,feed,echar de comer
1151,melken::V,milk,ordeñar
1152,hacken::V,chop,picar
1153,hacken::V,chop,cortar
1154,gießen::V,water,regar
1155,reifen::V,ripen,madurar
1156,zubereiten::V,cook,preparar
1157,kochen::V,boil,cocer
1158,kochen::V,boil,guisar
1159,backen::V,bake,hornear
1160,backen::V,bake,cocer al horno
1161,braten::V,fry,asar
1162,braten::V,fry,freír
1163,umrühren::V,stir,remover
1164,stricken::V,knit,hacer punto
1165,stricken::V,knit,hacer calceta
1166,nähen::V,sew,coser
1167,färben::V,dye,teñir
1168,färben::V,dye,colorear
1169,reinigen::V,clean,limpiar
1170,waschen::V,wash,lavar
1171,abwischen::V,wipe,fregar
1172,abwischen::V,wipe,limpiar
1173,spülen::V,rinse,aclarar
1174,spülen::V,rinse,enjuagar
1175,fegen::V,sweep,barrer
1176,fegen::V,sweep,pasar la escoba
1177,kehren::V,sweep,barrer
1178,baden::V,bath,bañarse
1179,sich waschen::V,wash,lavarse
1180,ausziehen::V,take off,quitar
1181,ausziehen::V,take off,quitarse
1182,anziehen::V,put on,ponerse
1183,sich anziehen::V,get dressed,vestirse
1184,kämmen::V,comb,peinar
1185,schmücken::V,decorate,adornar
1186,sagen::V,say,decir
1187,sprechen::V,speak,hablar
1188,reden::V,talk,hablar
1189,reden::V,talk,conversar
1190,sich unterhalten::V,chat,charlar
1191,sich unterhalten::V,chat,conversar
1192,fragen::V,ask,preguntar
1193,bitten::V,request,rogar
1194,erzählen::V,tell,contar
1195,mitteilen::V,convey,comunicar
1196,mitteilen::V,convey,participar
1197,nennen::V,name,llamar
1198,nennen::V,name,nombrar
1199,rufen::V,call,llamar
1200,prahlen::V,brag,jactarse
1201,übersetzen::V,translate,traducir
1202,denken::V,think,pensar
1203,glauben::V,believe,creer
1204,bemerken::V,notice,notar
1205,erkennen::V,recognize,reconocer
1206,begreifen::V,grasp,concebir
1207,verstehen::V,understand,entender
1208,verstehen::V,understand,comprender
1209,lernen::V,learn,aprender
1210,wissen::V,know,saber
1211,sich erinnern an::V,remember,recordar
1212,sich erinnern an::V,remember,acordarse de
1213,vergessen::V,forget,olvidar
1214,messen::V,measure,medir
1215,zählen::V,count,contar
1216,rechnen::V,calculate,contar
1217,rechnen::V,calculate,calcular
1218,lesen::V,read,leer
1219,malen::V,paint,pintar
1220,zeichnen::V,draw,dibujar
1221,schreiben::V,write,escribir
1222,besitzen::V,own,poseer
1223,kaufen::V,buy,comprar
1224,verkaufen::V,sell,vender
1225,bezahlen::V,pay for,pagar
1226,zahlen::V,pay,pagar
1227,beherrschen::V,rule,dominar
1228,ertragen::V,endure,soportar
,,although,"de"
,,although,"aunque"
,,although,"comprensible"
,,although,"pesar"
,,although,"es"
,,although,"del"
,,although,"que"
,,although,"a"
,,countries,"los"
,,countries,"países"
,,countries,"todo"
,,countries,"que"
,,countries,"a"
,,developing,"vías"
,,developing,"desarrollo"
,,developing,"desarollados"
,,developing,"desarrollados"
,,developing,"vía"
,,developing,"de"
,,developing,"en"
,,developing,"desarrolados"
,,are,"están"
,,are,"ahora"
,,are,"está"
,,are,"es"
,,are,"tienen"
,,are,"van"
,,are,"que"
,,are,"son"
,,are,"han"
,,are,"lo"
,,are,"se"
,,are,"ha"
,,are,"los"
,,are,"estén"
,,are,"muestren"
,,are,"estos"
,,are,"muestran"
,,are,"va"
,,understandably,"de"
,,understandably,"manera"
,,understandably,"comprensiblemente"
,,understandably,"cual"
,,understandably,"comprensible"
,,understandably,"entendible"
,,understandably,"lógicamente"
,,understandably,"es"
,,understandably,"muestren"
,,understandably,"muestran"
,,understandably,"lo"
,,compromise,"en"
,,compromise,"comprometer"
,,compromise,"riesgo"
,,compromise,"poner"
,,compromise,"anteponer"
,,their,"las"
,,their,"suya"
,,their,"de"
,,their,"el"
,,their,"este"
,,their,"la"
,,their,"dicho"
,,their,"una"
,,their,"a"
,,their,"su"
,,their,"sus"
,,chances,"oportunidades"
,,chances,"posibilidades"
,,of,"uno"
,,of,"de"
,,of,"por"
,,of,"cada"
,,of,"en"
,,of,"contra"
,,of,"causados"
,,of,"parte"
,,of,"que"
,,of,"sobre"
,,of,"a"
,,of,"sus"
,,of,"las"
,,of,"of"
,,of,"había"
,,of,"los"
,,of,"la"
,,of,"mayor"
,,of,"con"
,,of,"vez"
,,of,"del"
,,of,"para"
,,achieving,"lograr"
,,achieving,"conseguir"
,,better,"mejor"
,,better,"una"
,,better,"mayor"
,,better,"un"
,,better,"mejores"
,,standards,"estándares"
,,standards,"niveles"
,,standards,"calidad"
,,standards,"el"
,,standards,"la"
,,standards,"situación"
,,standards,"estandares"
,,standards,"nivel"
,,standards,"su"
,,living,"vida"
,,living,"la"
,,living,"de"
,,living,"nivel"
,,for,"esta"
,,for,"beneficio"
,,for,"favor"
,,for,"de"
,,for,"ayudar"
,,for,"manera"
,,for,"por"
,,for,"el"
,,for,"en"
,,for,"la"
,,for,"al"
,,for,"para"
,,for,"que"
,,for,"a"
,,for,"vida"
,,the,"más"
,,the,"de"
,,the,"cual"
,,the,"por"
,,the,"durante"
,,the,"en"
,,the,"dicho"
,,the,"parte"
,,the,"un"
,,the,"a"
,,the,"su"
,,the,"tanto"
,,the,"sus"
,,the,"lo"
,,the,"que"
,,the,"son"
,,the,"esta"
,,the,"raíz"
,,the,"the"
,,the,"las"
,,the,"los"
,,the,"este"
,,the,"la"
,,the,"fin"
,,the,"con"
,,the,"estos"
,,the,"una"
,,the,"del"
,,the,"al"
,,the,"el"
,,the,"dichos"
,,poor,"pobreza"
,,poor,"más"
,,poor,"pobres"
,,poor,"probreza"
,,poor,"países"
,,poor,"ciudadanos"
,,poor,"la"
,,poor,"población"
,,poor,"con"
,,poor,"desfavorecidos"
,,poor,"pobre"
,,change,"todo"
,,change,"cambio"
,,change,"necesario"
,,change,"climático"
,,change,"del"
,,change,"el"
,,change,"moneda"
,,change,"lo"
,,climate,"climáticos"
,,climate,"cambio"
,,climate,"climático"
,,threaten,"malograr"
,,threaten,"comprometer"
,,threaten,"negativamente"
,,threaten,"amenazar"
,,threaten,"sea"
,,threaten,"porqué"
,,threaten,"ser"
,,threaten,"afectar"
,,threaten,"por"
,,threaten,"tiene"
,,threaten,"en"
,,threaten,"a"
,,threaten,"su"
,,threaten,"qué"
,,threaten,"amenaza"
,,threaten,"una"
,,development,"desarrollo"
,,development,"el"
,,development,"económico"
,,development,"para"
,,development,"al"
,,development,"crecimiento"
,,development,"su"
,,development,"necesariamente"
,,economic,"desarrollo"
,,economic,"económico"
,,economic,"por"
,,economic,"el"
,,incentives,"los"
,,incentives,"incentivos"
,,must,"se"
,,must,"debe"
,,must,"tienen"
,,must,"deber"
,,must,"deben"
,,must,"deberían"
,,must,"debería"
,,be,"se"
,,be,"estar"
,,be,"ser"
,,be,"haber"
,,be,"podían"
,,offered,"orientados"
,,offered,"ofrecerse"
,,offered,"ofrecer"
,,offered,"ofrecidos"
,,offered,"dirigidos"
,,to,"de"
,,to,"plan"
,,to,"por"
,,to,"en"
,,to,"o"
,,to,"hacer"
,,to,"que"
,,to,"y"
,,to,"su"
,,to,"a"
,,to,"detener"
,,to,"evitó"
,,to,"como"
,,to,"los"
,,to,"con"
,,to,"hacia"
,,to,"del"
,,to,"para"
,,to,"al"
,,to,"el"
,,go,"dar"
,,go,"se"
,,go,"ir"
,,go,"hagan"
,,go,"que"
,,go,"crucen"
,,go,"hacia"
,,go,"lancen"
,,go,"hacer"
,,go,"un"
,,go,"adopten"
,,mile,"milla"
,,mile,"paso"
,,mile,"esfuerzo"
,,mile,"en"
,,mile,"tramo"
,,mile,"ambiente"
,,mile,"un"
,,mile,"el"
,,extra,"más"
,,extra,"extra"
,,extra,"adicionales"
,,extra,"de"
,,green,"renovables"
,,green,"ecológicamente"
,,green,"favor"
,,green,"de"
,,green,"en"
,,green,"energías"
,,green,"ambientales"
,,green,"color"
,,green,"a"
,,green,"ecológico"
,,green,"cuestiones"
,,green,"medio"
,,green,"temas"
,,green,"ecológicos"
,,green,"verde"
,,green,"pro"
,,green,"ecología"
,,green,"proteger"
,,green,"hacia"
,,green,"ambiente"
,,green,"del"
,,green,"para"
,,green,"respetando"
,,green,"el"
,,and,"as"
,,and,"de"
,,and,"u"
,,and,"e"
,,and,"que"
,,and,"tanto"
,,and,"a"
,,and,"así"
,,and,"y"
,,and,"lo"
,,and,"ya"
,,and,"como"
,,and,"cesar"
,,and,"además"
,,and,"la"
,,and,"los"
,,and,"vez"
,,and,"también"
,,implement,"se"
,,implement,"poniendo"
,,implement,"utilicen"
,,implement,"sirvan"
,,implement,"implementan"
,,implement,"práctica"
,,implement,"poner"
,,implement,"en"
,,implement,"implementar"
,,implement,"implementen"
,,implement,"implementasen"
,,implement,"usar"
,,implement,"para"
,,implement,"a"
,,implement,"incrementaran"
,,technologies,"las"
,,technologies,"limpias"
,,technologies,"de"
,,technologies,"tecnología"
,,technologies,"tecnologías"
,,clean,"tecnologías"
,,clean,"ecológicas"
,,clean,"dañen"
,,clean,"limpia"
,,clean,"nuevas"
,,clean,"medio"
,,clean,"ambiente"
,,clean,"ecosostenibles"
,,clean,"limpiar"
,,clean,"contaminan"
,,clean,"lavar"
,,clean,"para"
,,clean,"limpias"
,,clean,"que"
,,clean,"no"
,,clean,"el"
,,clean,"lo"
,,help,"a"
,,help,"asistir"
,,help,"ayuda"
,,help,"para"
,,help,"ayudar"
,,help,"intentar"
,,help,"favorecen"
,,minimise,"reducir"
,,minimise,"la"
,,minimise,"reducción"
,,minimise,"de"
,,minimise,"a"
,,minimise,"minimizar"
,,emissions,"las"
,,emissions,"emisiones"
,,emissions,"consecuencias"
,,emissions,"la"
,,emissions,"emixiones"
,,emissions,"causadas"
,,emissions,"procedentes"
,,emissions,"repercusiones"
,,from,"nacido"
,,from,"partir"
,,from,"causa"
,,from,"de"
,,from,"por"
,,from,"en"
,,from,"producto"
,,from,"provenientes"
,,from,"vecino"
,,from,"a"
,,from,"debido"
,,from,"y"
,,from,"procedentes"
,,from,"natural"
,,from,"las"
,,from,"porque"
,,from,"residente"
,,from,"deriva"
,,from,"la"
,,from,"originario"
,,from,"del"
,,from,"proviene"
,,from,"derivadas"
,,deforestation,"la"
,,deforestation,"deforestación"
,,deforestation,"desforestación"
,,some,"ciertas"
,,some,"cierta"
,,some,"mucha"
,,some,"algunos"
,,some,"algunas"
,,most,"más"
,,vulnerable,"vulnerables"
,,world,"globo"
,,world,"mundo"
,,have,"tiene"
,,have,"en"
,,have,"tienen"
,,have,"deben"
,,have,"tener"
,,have,"tengan"
,,have,"que"
,,have,"son"
,,have,"y"
,,have,"han"
,,have,"se"
,,have,"ya"
,,have,"ha"
,,have,"los"
,,have,"con"
,,have,"cuentan"
,,contributed,"influido"
,,contributed,"contribuido"
,,contributed,"contribuído"
,,but,"embargo"
,,but,"de"
,,but,"aunque"
,,but,"pero"
,,but,"pesar"
,,but,"y"
,,but,"incluso"
,,but,"a"
,,but,"sin"
,,but,"también"
,,bearing,"están"
,,bearing,"se"
,,bearing,"llevando"
,,bearing,"llevan"
,,bearing,"sufriendo"
,,in,"desde"
,,in,"últimos"
,,in,"de"
,,in,"en"
,,in,"mediante"
,,in,"que"
,,in,"trabajan"
,,in,"a"
,,in,"junto"
,,in,"raíz"
,,in,"hace"
,,in,"año"
,,in,"como"
,,in,"principios"
,,in,"del"
,,in,"los"
,,in,"la"
,,in,"con"
,,in,"región"
,,in,"el"
,,in,"trabajen"
,,particular,"particular"
,,need,"necesitar"
,,need,"porqué"
,,need,"qué"
,,need,"deberían"
,,need,"por"
,,need,"tiene"
,,need,"tendrían"
,,need,"los"
,,need,"debería"
,,need,"tienen"
,,need,"deben"
,,need,"necesidad"
,,need,"que"
,,need,"son"
,,need,"necesitan"
,,effects,"efectos"
,,therefore,"los"
,,therefore,"de"
,,therefore,"tanto"
,,therefore,"por"
,,therefore,"lo"
,,efforts,"efectos"
,,efforts,"favor"
,,efforts,"de"
,,efforts,"los"
,,efforts,"en"
,,efforts,"la"
,,efforts,"esfuerzos"
,,adaptation,"adaptar"
,,adaptation,"de"
,,adaptation,"por"
,,adaptation,"en"
,,adaptation,"la"
,,adaptation,"adaptarse"
,,adaptation,"para"
,,adaptation,"adaptación"
,,mitigation,"migración"
,,mitigation,"mitigarladaptación"
,,mitigation,"por"
,,mitigation,"el"
,,mitigation,"la"
,,mitigation,"mitigación"
,,mitigation,"mitigarlo"
,,mitigation,"climático"
,,mitigation,"cambio"
,,mitigation,"para"
,,mitigation,"y"
,,mitigation,"apaliar"
,,mitigation,"mitigar"
,,sociology,"sociología"
,,sociology,"la"
,,sociology,"sociologia"
,,sociology,"de"
,,is,"se"
,,is,"es"
,,is,"sea"
,,is,"quiere"
,,is,"está"
,,relatively,"realtivamente"
,,relatively,"relativamente"
,,a,"ello"
,,a,"como"
,,a,"de"
,,a,"por"
,,a,"en"
,,a,"este"
,,a,"la"
,,a,"una"
,,a,"un"
,,a,"al"
,,new,"nueva"
,,new,"reciente"
,,academic,"académica"
,,academic,"disciplina"
,,discipline,"académica"
,,discipline,"disciplina"
,,modernity,"edad"
,,modernity,"modernidad"
,,modernity,"sociedad"
,,modernity,"moderna"
,,modernity,"era"
,,modernity,"tiempos"
,,modernity,"la"
,,modernity,"los"
,,modernity,"modernos"
,,increasing,"incrementar"
,,increasing,"emergentes"
,,increasing,"aumento"
,,increasing,"de"
,,increasing,"mejora"
,,increasing,"cada"
,,increasing,"en"
,,increasing,"incremento"
,,increasing,"creciente"
,,increasing,"augmento"
,,increasing,"la"
,,increasing,"vez"
,,increasing,"nueva"
,,increasing,"una"
,,increasing,"mayor"
,,increasing,"el"
,,mobility,"mobilidad"
,,mobility,"la"
,,mobility,"movilidad"
,,mobility,"de"
,,advances,"los"
,,advances,"en"
,,advances,"nuevos"
,,advances,"de"
,,advances,"avances"
,,technological,"tecnológicos"
,,technological,"tecnología"
,,technological,"avances"
,,technological,"los"
,,cultures,"la"
,,cultures,"culturas"
,,cultures,"las"
,,cultures,"cultura"
,,people,"las"
,,people,"pacientes"
,,people,"gente"
,,people,"los"
,,people,"la"
,,people,"gentes"
,,people,"personas"
,,people,"pueblos"
,,people,"pueblo"
,,societies,"las"
,,societies,"los"
,,societies,"la"
,,societies,"sociedades"
,,societies,"grupos"
,,societies,"comunidades"
,,societies,"a"
,,societies,"estas"
,,different,"distintas"
,,different,"diferentes"
,,impact,"impacto"
,,this,"dicha"
,,this,"este"
,,this,"esta"
,,this,"esto"
,,this,"éste"
,,exposure,"contacto"
,,exposure,"expuesta"
,,exposure,"entrara"
,,exposure,"más"
,,exposure,"exposición"
,,exposure,"de"
,,exposure,"cada"
,,exposure,"en"
,,exposure,"cambio"
,,exposure,"estuviese"
,,exposure,"del"
,,exposure,"la"
,,exposure,"vez"
,,exposure,"una"
,,exposure,"mayor"
,,exposure,"el"
,,was,"se"
,,was,"le"
,,was,"entró"
,,was,"ha"
,,was,"fue"
,,was,"era"
,,was,"es"
,,was,"sido"
,,was,"que"
,,was,"han"
,,was,"lo"
,,varied,"variada"
,,varied,"distinto"
,,varied,"variable"
,,varied,"diversa"
,,varied,"diverso"
,,varied,"variado"
,,included,"significó"
,,included,"esto"
,,included,"tras"
,,included,"incluyó"
,,included,"supuso"
,,included,"inclusive"
,,included,"implica"
,,included,"implicó"
,,included,"implicaba"
,,included,"suponía"
,,included,"incluía"
,,included,"incluso"
,,breakdown,"ruptura"
,,breakdown,"desglose"
,,breakdown,"destrucción"
,,breakdown,"las"
,,breakdown,"romper"
,,breakdown,"inicio"
,,breakdown,"quiebro"
,,breakdown,"fin"
,,breakdown,"desaparición"
,,breakdown,"desmembramiento"
,,breakdown,"cambio"
,,breakdown,"establecimiento"
,,breakdown,"rotura"
,,breakdown,"derrumbe"
,,customs,"las"
,,customs,"costumbres"
,,customs,"tradicionales"
,,warranted,"necesitaba"
,,warranted,"se"
,,warranted,"aseguró"
,,warranted,"esto"
,,warranted,"garantizaba"
,,warranted,"justificó"
,,warranted,"aseguraba"
,,warranted,"además"
,,warranted,"garantizó"
,,warranted,"supuso"
,,warranted,"justificando"
,,warranted,"justifica"
,,warranted,"necesitan"
,,how,"como"
,,how,"funciona"
,,how,"cómo"
,,works,"ese"
,,works,"hasta"
,,works,"momento"
,,works,"funciona"
,,works,"el"
,,works,"funcionamiento"
,,sociologists,"los"
,,sociologists,"sociólogos"
,,responded,"se"
,,responded,"respondieron"
,,responded,"respondido"
,,responded,"dado"
,,responded,"responden"
,,responded,"adaptaron"
,,responded,"rspondieron"
,,responded,"han"
,,responded,"respuesta"
,,these,"esta"
,,these,"estos"
,,these,"las"
,,these,"esos"
,,these,"todas"
,,these,"estas"
,,changes,"necesidad"
,,changes,"cambios"
,,changes,"retos"
,,understand,"comprender"
,,understand,"entender"
,,understand,"a"
,,understand,"los"
,,what,"es"
,,what,"une"
,,what,"qué"
,,what,"que"
,,what,"lo"
,,groups,"los"
,,groups,"a"
,,groups,"grupos"
,,social,"la"
,,social,"sociales"
,,social,"social"
,,social,"solidaridad"
,,also,"además"
,,also,"intentando"
,,also,"como"
,,also,"así"
,,also,"también"
,,exploring,"exploraron"
,,exploring,"analizando"
,,exploring,"tratando"
,,exploring,"de"
,,exploring,"explorando"
,,exploring,"a"
,,exploring,"explorar"
,,solutions,"soluciones"
,,solutions,"razones"
,,solutions,"eran"
,,solutions,"las"
,,possible,"las"
,,possible,"posibles"
,,possible,"cuáles"
,,possible,"diferentes"
,,solidarity,"solidariedad"
,,solidarity,"la"
,,solidarity,"social"
,,solidarity,"solidaridad"
,,term,"griego"
,,term,"palabra"
,,term,"como"
,,term,"término"
,,term,"term"
,,auguste,"auguste"
,,auguste,"augusto"
,,comte,"combe"
,,comte,"comte"
,,socius,"socious"
,,socius,"socius"
,,companion,"compañía"
,,companion,"compañero"
,,associate,"asociado"
,,associate,"socio"
,,logia,"logia"
,,study,"estudio"
,,speech,"del"
,,speech,"habla"
,,speech,"discurso"
,,speech,"lengua"
,,families,"las"
,,families,"británicas"
,,families,"familias"
,,families,"afectadas"
,,cost,"costas"
,,cost,"costar"
,,cost,"costo"
,,cost,"precio"
,,cost,"nivel"
,,cost,"coste"
,,cost,"el"
,,british,"británicas"
,,an,"en"
,,an,"una"
,,an,"un"
,,an,"a"
,,an,"unas"
,,year,"años"
,,year,"año"
,,as,"dado"
,,as,"de"
,,as,"por"
,,as,"en"
,,as,"concepto"
,,as,"mientras"
,,as,"que"
,,as,"tanto"
,,as,"debido"
,,as,"a"
,,as,"ya"
,,as,"como"
,,as,"cuando"
,,as,"porque"
,,as,"donde"
,,as,"pequeña"
,,as,"depende"
,,as,"cómo"
,,prices,"cuales"
,,prices,"ya"
,,prices,"de"
,,prices,"tasas"
,,prices,"precio"
,,prices,"los"
,,prices,"en"
,,prices,"a"
,,prices,"precios"
,,prices,"del"
,,prices,"que"
,,prices,"estos"
,,prices,"el"
,,food,"alimentos"
,,food,"productos"
,,food,"de"
