,Concept_ID,en,ja
890,beenden::V,finish,終える
891,aufhören::V,stop,止める
892,gelingen::V,succeed,成功する
893,geraten::V,turn out,当たる
894,öffnen::V,open,開く
895,öffnen::V,open,開ける
896,schließen::V,close,閉める
897,stellen::V,put,置く
898,stellen::V,put,据える
899,setzen::V,place,座らせる
900,legen::V,lay,置く
901,berühren::V,touch,触る
902,berühren::V,touch,触れる
903,verbinden::V,connect,結びつける
904,bedecken::V,cover,覆う
905,aufhängen::V,hang up,掛ける
906,anzünden::V,light,燃やす
907,anzünden::V,light,火をつける
908,aufheben::V,pick up,拾う
909,zurücklassen::V,leave,残す
910,verlieren::V,lose,無くす
911,fallen lassen::V,drop,落とす
912,machen::V,make,作る
913,herstellen::V,produce,製造する
914,bauen::V,build,建設する
915,reparieren::V,mend,直す
916,reparieren::V,mend,修理する
917,verbessern::V,improve,改良する
918,ändern::V,alter,変える
919,graben::V,dig,掘る
920,beugen::V,bow,折る
921,biegen::V,bend,曲げる
922,drehen::V,spin,回す
923,wenden::V,turn,裏返す
924,umdrehen::V,turn around,裏返す
925,heben::V,raise,挙げる
926,hochheben::V,lift,持ち上げる
927,ergreifen::V,seize,取り上げる
928,halten::V,hold,持つ
929,drücken::V,press,押す
930,schieben::V,push,ずらす
931,kratzen::V,scrape,引っ掻く
932,lecken::V,lick,なめる
933,beißen::V,bite,噛む
934,abreißen::V,tear off,剝ぎ取る
935,abschneiden::V,cut off,切り取る
936,binden::V,tie,縛る
937,stecken::V,stick,差し込む
938,brechen::V,break,破る
939,klopfen::V,knock,とんとん叩く
940,hauen::V,hit,叩く
941,kleben::V,glue,貼る
942,kleben::V,glue,くっ付ける
943,reiben::V,rub,擦る
944,streichen::V,spread,塗る
945,schleifen::V,grind,研ぐ
946,schneiden::V,cut,切る
947,rütteln::V,jolt,揺さぶる
948,schütteln::V,shake,振る
949,schütteln::V,shake,揺さぶる
950,schwenken::V,swing,振る
951,schütten::V,pour,注ぐ
952,füllen::V,fill,いっぱいにする
953,einwickeln::V,wrap,包む
954,tragen::V,carry,運ぶ
955,schleppen::V,drag,引きずる
956,ziehen::V,pull,引く
957,aufbewahren::V,keep,預かる
958,werfen::V,throw,投げる
959,fangen::V,catch,受ける
960,packen::V,grab,掴む
961,verstecken::V,hide,隠す
962,teilen::V,divide,分ける
963,schicken::V,send,送る
964,bringen::V,bring,持って行く
965,hinzufügen::V,add,加える
966,bekommen::V,get,得る
967,erhalten::V,receive,受ける
968,nehmen::V,take,取る
969,wählen::V,choose,選ぶ
970,auswählen::V,select,選ぶ
971,bewahren::V,preserve,保存する
972,behindern::V,hinder,妨害する
973,verderben::V,spoil,台無しにする
974,beschädigen::V,damage,損傷する
975,zerbrechen::V,break,割る
976,zerreißen::V,tear,引き裂く
977,zerstören::V,destroy,破壊する
978,verbrennen::V,burn,焼く
979,geben::V,give,上げる
980,reichen::V,hand,渡す
981,schenken::V,give,贈る
982,versprechen::V,promise,約束する
983,wünschen::V,wish,望む
984,loben::V,praise,褒める
985,küssen::V,kiss,キスする
986,wiegen::V,rock,揺する
987,zudecken::V,cover,覆う
988,wecken::V,wake,起こす
989,zeigen::V,show,見せる
990,führen::V,guide,案内する
991,lehren::V,teach,教える
992,unterrichten::V,instruct,通知する
993,aufziehen::V,bring up,育てる
994,leiten::V,lead,導く
995,antreiben::V,urge,励ます
996,lassen::V,let,～させる
997,einladen::V,invite,誘う
998,einladen::V,invite,招待する
999,vereinigen::V,unite,一つにする
1000,besuchen::V,visit,訪ねる
1001,treffen::V,meet,出会う
1002,sich versammeln::V,assemble,集まる
1003,spielen::V,play,遊ぶ
1004,singen::V,sing,歌う
1005,tanzen::V,dance,踊る
1006,sich trennen::V,separate,別れる
1007,verlassen::V,leave,別れる
1008,retten::V,rescue,救う
1009,retten::V,rescue,助ける
1010,bewachen::V,guard,見張る
1011,bewachen::V,guard,軽微する
1012,schützen::V,protect,保護する
1013,verteidigen::V,defend,守る
1014,sich schlagen::V,brawl,殴る
1015,schießen::V,shoot,撃つ
1016,siegen::V,win,勝つ
1017,ärgern::V,annoy,怒らせる
1018,schlagen::V,beat,殴る
1019,treten::V,kick,蹴る
1020,stechen::V,sting,突く
1021,stoßen::V,shove,突く
1022,stehlen::V,steal,盗る
1023,stören::V,disturb,構う
1024,belästigen::V,bother,邪魔する
1025,verbergen::V,conceal,隠す
1026,täuschen::V,deceive,だます
1027,betrügen::V,cheat,だます
1028,töten::V,kill,殺す
1029,wohnen::V,dwell,住む
1030,arbeiten::V,work,働く
1031,sammeln::V,gather,集める
1032,sammeln::V,gather,収集する
1033,pflücken::V,pick,摘む
1034,jagen::V,hunt,狩りをする
1035,fischen::V,fish,釣る
1036,fassen::V,catch,捕る
1037,hüten::V,herd,放牧する
1038,treiben::V,drive,追う
1039,anbinden::V,tie up,繋ぐ
1040,füttern::V,feed,餌をやる
1041,melken::V,milk,搾乳する
1042,hacken::V,chop,刻む
1043,gießen::V,water,水をやる
1044,reifen::V,ripen,熟す
1045,zubereiten::V,cook,調理する
1046,kochen::V,boil,煮る
1047,backen::V,bake,焼く
1048,braten::V,fry,焼く
1049,braten::V,fry,炒める
1050,umrühren::V,stir,混ぜる
1051,stricken::V,knit,編む
1052,nähen::V,sew,縫う
1053,färben::V,dye,染める
1054,reinigen::V,clean,掃除する
1055,waschen::V,wash,洗う
1056,waschen::V,wash,洗濯する
1057,abwischen::V,wipe,拭く
1058,spülen::V,rinse,洗う
1059,spülen::V,rinse,すすぐ
1060,fegen::V,sweep,掃除する
1061,kehren::V,sweep,掃く
1062,baden::V,bath,入浴する
1063,sich waschen::V,wash,洗う
1064,ausziehen::V,take off,脱ぐ
1065,anziehen::V,put on,着る
1066,sich anziehen::V,get dressed,着る
1067,kämmen::V,comb,梳く
1068,schmücken::V,decorate,飾る
1069,sagen::V,say,言う
1070,sprechen::V,speak,話す
1071,reden::V,talk,話す
1072,sich unterhalten::V,chat,話をする
1073,fragen::V,ask,聞く
1074,bitten::V,request,頼む
1075,bitten::V,request,お願いする
1076,erzählen::V,tell,物語る
1077,mitteilen::V,convey,伝える
1078,nennen::V,name,名づける
1079,rufen::V,call,呼ぶ
1080,prahlen::V,brag,自慢する
1081,übersetzen::V,translate,訳す
1082,denken::V,think,考える
1083,glauben::V,believe,信じる
1084,bemerken::V,notice,気が付く
1085,erkennen::V,recognize,認識する
1086,begreifen::V,grasp,分かる
1087,verstehen::V,understand,聞き取る
1088,lernen::V,learn,学ぶ
1089,lernen::V,learn,勉強する
1090,wissen::V,know,知っている
1091,sich erinnern an::V,remember,思い出す
1092,vergessen::V,forget,忘れる
1093,messen::V,measure,計る
1094,messen::V,measure,測定する
1095,zählen::V,count,数える
1096,rechnen::V,calculate,計算する
1097,lesen::V,read,読む
1098,malen::V,paint,描く
1099,zeichnen::V,draw,写生する
1100,schreiben::V,write,書く
1101,besitzen::V,own,所持する
1102,kaufen::V,buy,買う
1103,verkaufen::V,sell,売る
1104,bezahlen::V,pay for,払う
1105,zahlen::V,pay,支払う
1106,beherrschen::V,rule,支配する
1107,ertragen::V,endure,耐える
,,access,"アクセス"
,,acid,"酸"
,,aid,"援助"
,,arm,"腕"
,,arrow,"矢印"
,,ashtray,"灰皿"
,,balloon,"風船"
,,banana,"バナナ"
,,bed,"ベッド"
,,bench,"ベンチ"
,,bicycle,"自転車"
,,blank,"空白"
,,bone,"骨"
,,bricks,"レンガ"
,,broom,"ほうき"
,,brush,"ブラシ"
,,bus,"バス"
,,bust,"胸"
,,button,"ボタン"
,,cake,"ケーキ"
,,call,"コール"
,,camel,"ラクダ"
,,care,"ケア"
,,career,"キャリア"
,,carrot,"人参"
,,case,"ケース"
,,caution,"注意"
,,cherry,"さくらんぼ"
,,chimney,"エントツ"
,,class,"クラス"
,,classic,"クラシック"
,,clear,"クリアー"
,,clue,"手がかり"
,,cool,"クール"
,,coral,"サンゴ"
,,core,"コア"
,,course,"コース"
,,cow,"牛"
,,crime,"犯罪"
,,cross,"クロス"
,,cure,"治る"
,,curtain,"カーテン"
,,cycle,"サイクル"
,,deer,"シカ"
,,demand,"要求"
,,desk,"机"
,,dolphin,"イルカ"
,,door,"ドア"
,,dress,"ドレス"
,,dresser,"たんす"
,,eagle,"ワシ"
,,elephant,"象"
,,exit,"出口"
,,fail,"失敗"
,,find,"見つける"
,,firm,"会社"
,,fish,"魚"
,,flag,"旗"
,,flute,"フルート"
,,fool,"バカ"
,,foot,"足"
,,fork,"フォーク"
,,fox,"キツネ"
,,frog,"カエル"
,,front,"前"
,,fuel,"の"
,,fuel,"食糧"
,,fuel,"燃料"
,,fuel,"石油"
,,fuel,"食料"
,,fuel,"ガソリン"
,,fuel,"品"
,,fuel,"費"
,,fuel,"食費"
,,fund,"資金"
,,future,"将来"
,,genre,"ジャンル"
,,giraffe,"キリン"
,,glass,"グラス"
,,goal,"ゴール"
,,goat,"ヤギ"
,,gorilla,"ゴリラ"
,,grapes,"ブドウ"
,,guitar,"ギター"
,,hammock,"ハンモック"
,,hanger,"ハンガー"
,,hate,"憎む"
,,head,"頭"
,,heart,"心臓"
,,heart,"精神"
,,heart,"の"
,,heart,"な"
,,heart,"に"
,,heart,"は"
,,heart,"的"
,,heart,"心"
,,heart,"全員"
,,heart,"ハート"
,,heart,"で"
,,helicopter,"ヘリコプター"
,,helmet,"ヘルメット"
,,hope,"希望"
,,ideal,"理想"
,,iron,"アイロン"
,,jar,"つぼ"
,,joint,"関節"
,,joke,"ジョーク"
,,jury,"陪審"
,,kangaroo,"カンガルー"
,,kick,"キック"
,,kiss,"キス"
,,ladder,"はしご"
,,learn,"習う"
,,left,"左"
,,lemon,"レモン"
,,lesson,"レッスン"
,,lion,"ライオン"
,,lips,"唇"
,,loan,"ローン"
,,lobster,"ザリガニ"
,,local,"ローカル"
,,loose,"緩い"
,,lucky,"ラッキー"
,,matter,"物事"
,,maze,"迷路"
,,morale,"モラル"
,,naked,"裸"
,,necklace,"ネクレス"
,,normal,"普通"
,,nose,"鼻"
,,past,"過去"
,,peanut,"ピーナツ"
,,pelican,"ペリカン"
,,pencil,"鉛筆"
,,penguin,"ペンギン"
,,pig,"豚"
,,pipe,"パイプ"
,,place,"場所"
,,plain,"明白"
,,pool,"プール"
,,prison,"刑務所"
,,profit,"利益"
,,pyramid,"ピラミッド"
,,rabbit,"ウサギ"
,,race,"レース"
,,radio,"ラジオ"
,,rain,"雨"
,,rank,"ランク"
,,real,"リアル"
,,regular,"レギュラー"
,,release,"リリース"
,,rental,"レンタル"
,,return,"リターン"
,,ring,"指輪"
,,rocket,"ロケット"
,,roll,"ロール"
,,rule,"ルール"
,,sailor,"水兵"
,,scale,"スケール"
,,scissors,"はさみ"
,,score,"スコア"
,,screen,"スクリーン"
,,screw,"ネジ"
,,sense,"センス"
,,share,"シェア"
,,shark,"サメ"
,,shirt,"ワイシャツ"
,,shock,"ショック"
,,show,"ショー"
,,shower,"シャワー"
,,sign,"サイン"
,,single,"シングル"
,,size,"サイズ"
,,ski,"スキー"
,,skill,"スキル"
,,skirt,"スカート"
,,slipper,"スリッパ"
,,slow,"スロー"
,,smell,"香り"
,,snake,"ヘビ"
,,snowman,"雪だるま"
,,sock,"靴下"
,,solid,"固体"
,,spoon,"スプーン"
,,stroke,"なでる"
,,style,"スタイル"
,,swan,"白鳥"
,,tank,"戦車"
,,task,"タスク"
,,telephone,"電話"
,,television,"テレビ"
,,tent,"テント"
,,tiger,"トラ"
,,toaster,"トースター"
,,tomato,"トマト"
,,tractor,"トラクター"
,,trap,"ワナ"
,,truck,"トラック"
,,trumpet,"トランペット"
,,turtle,"カメ"
,,umbrella,"傘"
,,vest,"ベスト"
,,view,"眺め"
,,violin,"バイオリン"
,,wake,"覚める"
,,warm,"暖かい"
,,waste,"浪費"
,,wolf,"オオカミ"
,,work,"ワーク"
,,youth,"ユース"
,,zebra,"シマウマ"
,,societies,"により"
,,societies,"も"
,,societies,"ギリシャ"
,,societies,"形態"
,,societies,"生活"
,,societies,"に"
,,societies,"存在"
,,societies,"社会"
,,societies,"において"
,,societies,"人々"
,,societies,"の"
,,societies,"という"
,,societies,"民族"
,,societies,"と"
,,societies,"は"
,,societies,"で"
,,nomadic,"遊牧"
,,nomadic,"ノルマンディー"
,,nomadic,"現実"
,,nomadic,"族"
,,nomadic,"生活"
,,nomadic,"的"
,,nomadic,"社会"
,,nomadic,"系"
,,nomadic,"ノ"
,,nomadic,"ルマン"
,,nomadic,"遊牧民"
,,nomadic,"民族"
,,nomadic,"移動"
,,nomadic,"が"
,,nomadic,"ノマド"
,,nomadic,"ノマ"
,,nomadic,"民"
,,nomadic,"で"
,,nomadic,"規範"
,,nomadic,"ノルマディック"
,,one,"を"
,,one,"た"
,,one,"名"
,,one,"つ"
,,one,"刑"
,,one,"一定"
,,one,"一つ"
,,one,"回"
,,one,"ある"
,,one,"られる"
,,one,"人"
,,one,"一方"
,,one,"ひとり"
,,one,"受け"
,,one,"の"
,,one,"科せ"
,,one,"その"
,,one,"が"
,,one,"一"
,,one,"ひとつ"
,,one,"回分"
,,one,"件"
,,one,"終身"
,,one,"ため"
,,region,"地域"
,,region,"とどまる"
,,region,"箇所"
,,region,"と"
,,region,"領域"
,,region,"に"
,,region,"内"
,,region,"場所"
,,of,"を"
,,of,"名"
,,of,"も"
,,of,"ある"
,,of,"に"
,,of,"人"
,,of,"する"
,,of,"こと"
,,of,"の"
,,of,"持つ"
,,of,"という"
,,of,"ともなう"
,,of,"に関する"
,,of,"罪"
,,of,"と"
,,of,"伴う"
,,of,"件"
,,of,"直面"
,,of,"は"
,,of,"言う"
,,of,"もたらす"
,,of,"による"
,,of,"それぞれ"
,,of,"により"
,,of,"者"
,,of,"た"
,,of,"に関して"
,,of,"患者"
,,of,"における"
,,of,"抱える"
,,of,"に対して"
,,of,"もたらし"
,,of,"殺人"
,,of,"に対し"
,,of,"大量"
,,of,"睡眠薬"
,,of,"へ"
,,of,"でも"
,,of,"に対する"
,,of,"事件"
,,of,"与える"
,,of,"によって"
,,of,"について"
,,of,"が"
,,of,"なか"
,,of,"ため"
,,of,"中"
,,of,"から"
,,of,"で"
,,quickly,"の"
,,quickly,"速い"
,,quickly,"早く"
,,quickly,"簡単"
,,quickly,"たちまち"
,,quickly,"すぐ"
,,quickly,"急速"
,,quickly,"に"
,,quickly,"うち"
,,quickly,"短期間"
,,quickly,"早々"
,,quickly,"で"
,,quickly,"勢い"
,,as,"あり"
,,as,"を"
,,as,"な"
,,as,"ある"
,,as,"に"
,,as,"状況"
,,as,"こと"
,,as,"の"
,,as,"し"
,,as,"可能"
,,as,"おり"
,,as,"ば"
,,as,"ので"
,,as,"もの"
,,as,"は"
,,as,"伴い"
,,as,"よう"
,,as,"による"
,,as,"により"
,,as,"といった"
,,as,"における"
,,as,"なぜ"
,,as,"あっ"
,,as,"防ぐ"
,,as,"同時に"
,,as,"結果"
,,as,"受け"
,,as,"それ"
,,as,"これ"
,,as,"その"
,,as,"なら"
,,as,"性"
,,as,"が"
,,as,"同様"
,,as,"なか"
,,as,"ため"
,,as,"伴っ"
,,as,"として"
,,as,"て"
,,as,"中"
,,as,"から"
,,as,"で"
,,such,"の"
,,such,"その"
,,such,"狩猟"
,,such,"な"
,,such,"に"
,,such,"よう"
,,such,"社会"
,,such,"この"
,,system,"体育"
,,system,"を"
,,system,"環境"
,,system,"システム"
,,system,"生活"
,,system,"は"
,,system,"社会"
,,system,"する"
,,system,"様式"
,,system,"系"
,,system,"スタイル"
,,system,"で"
,,under,"彼"
,,under,"の"
,,under,"だ"
,,under,"状況"
,,under,"もと"
,,under,"あっ"
,,under,"と"
,,under,"に"
,,under,"は"
,,under,"において"
,,under,"て"
,,under,"下"
,,under,"で"
,,also,"さらに"
,,also,"に"
,,also,"また"
,,also,"も"
,,land,"の"
,,land,"地域"
,,land,"状態"
,,land,"が"
,,land,"生活"
,,land,"場合"
,,land,"に"
,,land,"暮らす"
,,land,"地"
,,land,"社会"
,,land,"人"
,,land,"面積"
,,land,"土地"
,,land,"それ"
,,land,"で"
,,than,"より"
,,than,"も"
,,than,"に対して"
,,than,"に"
,,than,"比"
,,than,"比べ"
,,than,"異なり"
,,than,"比較"
,,than,"の"
,,than,"る"
,,than,"し"
,,than,"と"
,,than,"比べる"
,,than,"は"
,,than,"て"
,,to,"を"
,,to,"せる"
,,to,"スーダン"
,,to,"も"
,,to,"終わら"
,,to,"病院"
,,to,"ある"
,,to,"に"
,,to,"向け"
,,to,"できる"
,,to,"こと"
,,to,"の"
,,to,"し"
,,to,"持つ"
,,to,"という"
,,to,"に関する"
,,to,"と"
,,to,"なく"
,,to,"は"
,,to,"よう"
,,to,"側"
,,to,"いき"
,,to,"しよ"
,,to,"に関して"
,,to,"政府"
,,to,"防ぐ"
,,to,"に対して"
,,to,"に対し"
,,to,"にとって"
,,to,"へ"
,,to,"対応"
,,to,"これ"
,,to,"に対する"
,,to,"事"
,,to,"語"
,,to,"によって"
,,to,"が"
,,to,"について"
,,to,"ため"
,,to,"て"
,,to,"う"
,,to,"から"
,,to,"で"
,,always,"必ずしも"
,,always,"かならず"
,,always,"が"
,,always,"常に"
,,always,"すべて"
,,always,"絶対"
,,always,"必ず"
,,always,"全て"
,,because,"なぜ"
,,because,"理由"
,,because,"な"
,,because,"ある"
,,because,"に"
,,because,"なぜなら"
,,because,"それ"
,,because,"これ"
,,because,"の"
,,because,"で"
,,because,"なら"
,,because,"という"
,,because,"が"
,,because,"ので"
,,because,"ため"
,,because,"は"
,,because,"として"
,,because,"というのも"
,,generally,"の"
,,generally,"一般"
,,generally,"たいてい"
,,generally,"場合"
,,generally,"に"
,,generally,"基本"
,,generally,"は"
,,generally,"的"
,,generally,"通常"
,,generally,"ふつう"
,,surplus,"の"
,,surplus,"余分"
,,surplus,"を"
,,surplus,"た"
,,surplus,"も"
,,surplus,"貯蓄"
,,surplus,"な"
,,surplus,"過剰"
,,surplus,"用"
,,surplus,"余剰"
,,surplus,"て"
,,surplus,"余っ"
,,surplus,"それ"
,,food,"作物"
,,food,"燃料"
,,food,"食料"
,,food,"価格"
,,food,"食事"
,,food,"食物"
,,food,"食材"
,,food,"品"
,,food,"の"
,,food,"食べ物"
,,food,"食品"
,,food,"など"
,,food,"食糧"
,,food,"が"
,,food,"は"
,,food,"費"
,,food,"食費"
,,leaders,"なる"
,,leaders,"に"
,,leaders,"もの"
,,leaders,"者"
,,leaders,"リーダー"
,,leaders,"指導"
,,leaders,"や"
,,bureaucrats,"その"
,,bureaucrats,"役職"
,,bureaucrats,"者"
,,bureaucrats,"官僚"
,,bureaucrats,"採集"
,,bureaucrats,"側近"
,,artisans,"職人"
,,artisans,"といった"
,,artisans,"者"
,,artisans,"家"
,,artisans,"支配"
,,artisans,"に"
,,artisans,"立場"
,,artisans,"できる"
,,artisans,"人々"
,,artisans,"など"
,,artisans,"という"
,,artisans,"が"
,,artisans,"芸術"
,,artisans,"もの"
,,artisans,"は"
,,artisans,"専念"
,,artisans,"アルチザン"
,,artisans,"規則"
,,by,"による"
,,by,"により"
,,by,"における"
,,by,"あり"
,,by,"も"
,,by,"あっ"
,,by,"裁判"
,,by,"ある"
,,by,"に"
,,by,"刑事"
,,by,"において"
,,by,"こと"
,,by,"の"
,,by,"によって"
,,by,"し"
,,by,"せ"
,,by,"にて"
,,by,"が"
,,by,"は"
,,by,"投与"
,,by,"て"
,,by,"中"
,,by,"から"
,,by,"で"
,,understandably,"だ"
,,understandably,"もっとも"
,,understandably,"致し方"
,,understandably,"ながら"
,,understandably,"ある"
,,understandably,"もちろん"
,,understandably,"ない"
,,understandably,"できる"
,,understandably,"です"
,,understandably,"こと"
,,understandably,"の"
,,understandably,"理解"
,,understandably,"比較的"
,,understandably,"範囲"
,,understandably,"は"
,,understandably,"納得"
,,understandably,"当然"
,,understandably,"で"
,,for,"を"
,,for,"も"
,,for,"に"
,,for,"につき"
,,for,"こと"
,,for,"の"
,,for,"容疑"
,,for,"し"
,,for,"罪"
,,for,"残虐"
,,for,"れ"
,,for,"は"
,,for,"問わ"
,,for,"政策"
,,for,"による"
,,for,"により"
,,for,"に関して"
,,for,"た"
,,for,"刑"
,,for,"に対して"
,,for,"殺人"
,,for,"に対し"
,,for,"にとって"
,,for,"へ"
,,for,"に対する"
,,for,"によって"
,,for,"が"
,,for,"について"
,,for,"克服"
,,for,"ため"
,,for,"として"
,,for,"なり"
,,for,"で"
,,compromise,"提供"
,,compromise,"を"
,,compromise,"た"
,,compromise,"逃す"
,,compromise,"に"
,,compromise,"妥協"
,,compromise,"られる"
,,compromise,"する"
,,compromise,"妨げ"
,,compromise,"犠牲"
,,compromise,"し"
,,compromise,"について"
,,compromise,"得よ"
,,compromise,"損ねる"
,,compromise,"う"
,,compromise,"さまたげる"
,,reluctant,"妥協"
,,reluctant,"的"
,,reluctant,"は"
,,reluctant,"する"
,,reluctant,"消極"
,,reluctant,"こと"
,,are,"だ"
,,are,"もっとも"
,,are,"国"
,,are,"あり"
,,are,"それら"
,,are,"ませ"
,,are,"も"
,,are,"な"
,,are,"い"
,,are,"ある"
,,are,"に"
,,are,"ます"
,,are,"ん"
,,are,"です"
,,are,"こと"
,,are,"き"
,,are,"の"
,,are,"おり"
,,are,"国々"
,,are,"いる"
,,are,"は"
,,are,"で"
,,although,"た"
,,although,"追求"
,,although,"も"
,,although,"に"
,,although,"一方"
,,although,"関わら"
,,although,"けれども"
,,although,"です"
,,although,"しかし"
,,although,"つつ"
,,although,"上"
,,although,"し"
,,although,"が"
,,although,"と"
,,although,"ず"
,,although,"で"
,,on,"の"
,,on,"に対する"
,,on,"に関する"
,,on,"について"
,,on,"伴う"
,,on,"に対して"
,,on,"に"
,,on,"する"
,,on,"て"
,,on,"かんし"
,,on,"へ"
,,on,"対応"
,,action,"により"
,,action,"を"
,,action,"措置"
,,action,"な"
,,action,"活動"
,,action,"する"
,,action,"起こす"
,,action,"不十分"
,,action,"対策"
,,action,"対応"
,,action,"こと"
,,action,"取り組み"
,,action,"で"
,,action,"によって"
,,action,"行為"
,,action,"が"
,,action,"は"
,,action,"アクション"
,,action,"行動"
,,action,"政策"
,,threaten,"を"
,,threaten,"阻害"
,,threaten,"れる"
,,threaten,"ある"
,,threaten,"脅威"
,,threaten,"に"
,,threaten,"促す"
,,threaten,"られる"
,,threaten,"する"
,,threaten,"妨げ"
,,threaten,"の"
,,threaten,"なる"
,,threaten,"影響"
,,threaten,"及ぼす"
,,threaten,"脅かさ"
,,threaten,"危うく"
,,threaten,"が"
,,threaten,"脅かし"
,,threaten,"脅かす"
,,threaten,"もの"
,,threaten,"いる"
,,threaten,"れ"
,,threaten,"て"
,,threaten,"妨げる"
,,threaten,"で"
,,implement,"実行"
,,implement,"提供"
,,implement,"を"
,,implement,"さ"
,,implement,"実施"
,,implement,"導入"
,,implement,"に"
,,implement,"する"
,,implement,"設置"
,,implement,"実践"
,,implement,"の"
,,implement,"実装"
,,implement,"投入"
,,implement,"活用"
,,implement,"など"
,,implement,"し"
,,implement,"習得"
,,implement,"採用"
,,implement,"せ"
,,implement,"入れる"
,,implement,"向上"
,,implement,"取り入れ"
,,implement,"手"
,,implement,"進める"
,,implement,"て"
,,implement,"利用"
,,implement,"いく"
,,encourage,"推し進める"
,,encourage,"促進"
,,encourage,"を"
,,encourage,"促し"
,,encourage,"する"
,,encourage,"奨励"
,,encourage,"支援"
,,incentives,"国"
,,incentives,"を"
,,incentives,"インセンティブ"
,,incentives,"先進"
,,incentives,"資金"
,,incentives,"動機"
,,incentives,"か"
,,incentives,"インテンシブ"
,,incentives,"対策"
,,incentives,"の"
,,incentives,"金"
,,incentives,"きっかけ"
,,incentives,"が"
,,incentives,"援助"
,,incentives,"は"
,,incentives,"幾ばく"
,,and,"あり"
,,and,"を"
,,and,"たり"
,,and,"および"
,,and,"な"
,,and,"れる"
,,and,"そう"
,,and,"含む"
,,and,"また"
,,and,"動機"
,,and,"する"
,,and,"こと"
,,and,"の"
,,and,"し"
,,and,"及び"
,,and,"と"
,,and,"仲間"
,,and,"なく"
,,and,"は"
,,and,"よう"
,,and,"学者"
,,and,"そして"
,,and,"や"
,,and,"により"
,,and,"ならびに"
,,and,"ながら"
,,and,"同時に"
,,and,"それ"
,,and,"これ"
,,and,"つつ"
,,and,"その"
,,and,"など"
,,and,"によって"
,,and,"が"
,,and,"だけ"
,,and,"ため"
,,and,"とともに"
,,and,"等"
,,and,"て"
,,and,"う"
,,and,"で"
,,deforestation,"の"
,,deforestation,"物質"
,,deforestation,"破壊"
,,deforestation,"専任"
,,deforestation,"減少"
,,deforestation,"消滅"
,,deforestation,"汚染"
,,deforestation,"森林"
,,deforestation,"伐採"
,,from,"を"
,,from,"さ"
,,from,"由来"
,,from,"もと"
,,from,"語源"
,,from,"ある"
,,from,"れる"
,,from,"に"
,,from,"する"
,,from,"こと"
,,from,"の"
,,from,"組み合わせ"
,,from,"し"
,,from,"収容"
,,from,"という"
,,from,"と"
,,from,"いる"
,,from,"元"
,,from,"もの"
,,from,"れ"
,,from,"は"
,,from,"でし"
,,from,"引き起こさ"
,,from,"言う"
,,from,"くる"
,,from,"グラスゴ"
,,from,"による"
,,from,"以来"
,,from,"だ"
,,from,"により"
,,from,"た"
,,from,"生まれ"
,,from,"出身"
,,from,"い"
,,from,"ます"
,,from,"なっ"
,,from,"グラスゴー"
,,from,"この"
,,from,"です"
,,from,"それ"
,,from,"言葉"
,,from,"崩壊"
,,from,"によって"
,,from,"が"
,,from,"原因"
,,from,"繋げ"
,,from,"ため"
,,from,"て"
,,from,"生じる"
,,from,"要因"
,,from,"よる"
,,from,"から"
,,from,"で"
,,emissions,"温暖"
,,emissions,"増加"
,,emissions,"放出"
,,emissions,"二酸化炭素"
,,emissions,"エミッション"
,,emissions,"排気"
,,emissions,"汚染"
,,emissions,"地球"
,,emissions,"温室"
,,emissions,"co"
,,emissions,"の"
,,emissions,"影響"
,,emissions,"物"
,,emissions,"廃棄"
,,emissions,"量"
,,emissions,"効果"
,,emissions,"化"
,,emissions,"ガス"
,,emissions,"排出"
,,emissions,"伐採"
,,minimise,"抑える"
,,minimise,"軽減"
,,minimise,"を"
,,minimise,"最小限"
,,minimise,"れる"
,,minimise,"に"
,,minimise,"くい止める"
,,minimise,"する"
,,minimise,"低下"
,,minimise,"こと"
,,minimise,"の"
,,minimise,"抑え"
,,minimise,"など"
,,minimise,"低減"
,,minimise,"留め"
,,minimise,"よう"
,,minimise,"化"
,,minimise,"最小"
,,minimise,"削減"
,,vulnerable,"弱い"
,,vulnerable,"を"
,,vulnerable,"な"
,,vulnerable,"脆弱"
,,vulnerable,"立場"
,,vulnerable,"受け"
,,vulnerable,"の"
,,vulnerable,"被害"
,,vulnerable,"発展"
,,vulnerable,"性"
,,vulnerable,"が"
,,vulnerable,"やすい"
,,vulnerable,"遅れ"
,,vulnerable,"いる"
,,vulnerable,"て"
,,vulnerable,"貧弱"
,,countries,"国"
,,countries,"は"
,,countries,"国々"
,,some,"国"
,,some,"あり"
,,some,"何"
,,some,"も"
,,some,"ある"
,,some,"に"
,,some,"ます"
,,some,"か"
,,some,"いくつ"
,,some,"部"
,,some,"か国"
,,some,"の"
,,some,"が"
,,some,"多く"
,,some,"は"
,,some,"中"
,,some,"一部"
,,but,"もしくは"
,,but,"も"
,,but,"ながら"
,,but,"に"
,,but,"また"
,,but,"のに"
,,but,"一方"
,,but,"関わら"
,,but,"同時に"
,,but,"しかし"
,,but,"が"
,,but,"ものの"
,,but,"ず"
,,but,"しかしながら"
,,but,"逆"
,,but,"かかわら"
,,but,"で"
,,adapt,"し"
,,adapt,"が"
,,adapt,"適応"
,,adapt,"適合"
,,adapt,"努力"
,,adapt,"対応"
,,adapt,"する"
,,adapt,"て"
,,adapt,"できる"
