,Concept_ID,en,zh
912,geben::V,give,给
913,reichen::V,hand,递给
914,schenken::V,give,赠送
915,versprechen::V,promise,许诺
916,wünschen::V,wish,祝
917,loben::V,praise,表扬
918,küssen::V,kiss,亲
919,wiegen::V,rock,轻摇
920,zudecken::V,cover,盖上
921,wecken::V,wake,唤起
922,zeigen::V,show,指
923,führen::V,guide,带领
924,lehren::V,teach,教
925,unterrichten::V,instruct,讲课
926,aufziehen::V,bring up,抚养
927,leiten::V,lead,领导
928,antreiben::V,urge,催促
929,lassen::V,let,让
930,einladen::V,invite,邀请
931,vereinigen::V,unite,统一
932,besuchen::V,visit,参观
933,treffen::V,meet,会面
934,sich versammeln::V,assemble,聚集
935,spielen::V,play,玩
936,singen::V,sing,唱歌
937,tanzen::V,dance,跳舞
938,sich trennen::V,separate,分别
939,verlassen::V,leave,离开
940,retten::V,rescue,救
941,bewachen::V,guard,守卫
942,schützen::V,protect,保护
943,verteidigen::V,defend,保卫
944,sich schlagen::V,brawl,打架
945,schießen::V,shoot,射击
946,siegen::V,win,获胜
947,ärgern::V,annoy,激怒
948,schlagen::V,beat,打
949,treten::V,kick,踢
950,stechen::V,sting,刺
951,stoßen::V,shove,撞
952,stehlen::V,steal,盗窃
953,stören::V,disturb,干扰
954,belästigen::V,bother,打搅
955,verbergen::V,conceal,隐藏
956,täuschen::V,deceive,欺骗
957,betrügen::V,cheat,欺骗
958,töten::V,kill,杀
959,wohnen::V,dwell,居住
960,arbeiten::V,work,工作
961,sammeln::V,gather,收集
962,pflücken::V,pick,采
963,jagen::V,hunt,打猎
964,fischen::V,fish,捕鱼
965,fassen::V,catch,捉住
966,hüten::V,herd,守护
967,treiben::V,drive,漂
968,anbinden::V,tie up,拴
969,füttern::V,feed,喂
970,melken::V,milk,挤奶
971,hacken::V,chop,剁细
972,gießen::V,water,浇
973,reifen::V,ripen,成熟
974,zubereiten::V,cook,
975,kochen::V,boil,煮
976,backen::V,bake,烤
977,braten::V,fry,煎
978,umrühren::V,stir,搅拌
979,stricken::V,knit,织
980,nähen::V,sew,缝
981,färben::V,dye,染色
982,reinigen::V,clean,清洁
983,waschen::V,wash,洗
984,abwischen::V,wipe,擦掉
985,spülen::V,rinse,清洗
986,fegen::V,sweep,扫
987,kehren::V,sweep,打扫
988,baden::V,bath,给...洗澡
989,sich waschen::V,wash,洗澡
990,ausziehen::V,take off,脱
991,anziehen::V,put on,穿
992,sich anziehen::V,get dressed,穿衣
993,kämmen::V,comb,梳
994,schmücken::V,decorate,装饰
995,sagen::V,say,说
996,sprechen::V,speak,说
997,reden::V,talk,讲
998,sich unterhalten::V,chat,聊天
999,fragen::V,ask,问
1000,bitten::V,request,请
1001,erzählen::V,tell,叙述
1002,mitteilen::V,convey,通知
1003,nennen::V,name,叫做
1004,rufen::V,call,叫
1005,prahlen::V,brag,吹牛
1006,übersetzen::V,translate,翻译
1007,denken::V,think,想
1008,glauben::V,believe,以为
1009,bemerken::V,notice,发觉
1010,erkennen::V,recognize,识别
1011,begreifen::V,grasp,理解
1012,verstehen::V,understand,明白
1013,lernen::V,learn,学
1014,wissen::V,know,知道
1015,sich erinnern an::V,remember,回忆
1016,vergessen::V,forget,忘记
1017,messen::V,measure,测量
1018,zählen::V,count,数
1019,rechnen::V,calculate,计算
1020,lesen::V,read,读
1021,malen::V,paint,画
1022,zeichnen::V,draw,绘制
1023,schreiben::V,write,写
1024,besitzen::V,own,占有
1025,kaufen::V,buy,买
1026,verkaufen::V,sell,卖
1027,bezahlen::V,pay for,付钱
1028,zahlen::V,pay,支付
1029,beherrschen::V,rule,统治
1030,ertragen::V,endure,忍耐
,,age,"年龄"
,,age,"年纪"
,,army,"部队"
,,army,"军队"
,,arrival,"到达"
,,arrival,"到来"
,,attention,"注意"
,,attention,"注意力"
,,autumn,"秋"
,,autumn,"秋季"
,,autumn,"秋天"
,,beach,"沙滩"
,,beach,"海滩"
,,bee,"蜂"
,,bee,"蜜蜂"
,,boat,"船"
,,boat,"小船"
,,boat,"小舟"
,,body,"身子"
,,body,"身体"
,,bone,"骨头"
,,bone,"骨"
,,book,"书本"
,,book,"书"
,,boot,"靴子"
,,boot,"靴"
,,bottle,"瓶子"
,,bottle,"瓶"
,,box,"箱子"
,,box,"盒"
,,box,"盒子"
,,brow,"眉"
,,brow,"眉毛"
,,butcher,"杀猪者"
,,butcher,"屠夫"
,,butterfly,"蝴蝶"
,,butterfly,"蝶"
,,cab,"出租车"
,,cab,"计程车"
,,cage,"笼子"
,,cage,"笼"
,,candle,"蜡烛"
,,candle,"烛"
,,car,"轿车"
,,car,"车子"
,,car,"车"
,,car,"汽车"
,,cave,"洞"
,,cave,"山洞"
,,cave,"洞穴"
,,certainty,"确实"
,,certainty,"确定性"
,,certainty,"确定"
,,chain,"链子"
,,chain,"链"
,,cheek,"脸脥"
,,cheek,"面颊"
,,cheek,"脸颊"
,,chest,"胸部"
,,chest,"胸膛"
,,chest,"胸"
,,chest,"胸口"
,,clock,"时钟"
,,clock,"钟表"
,,clock,"钟"
,,coat,"外套"
,,coat,"外衣"
,,colour,"颜色"
,,colour,"色彩"
,,conscience,"良知"
,,conscience,"良心"
,,cotton,"棉花"
,,cotton,"棉"
,,country,"国"
,,country,"国家"
,,cow,"牛"
,,cow,"母牛"
,,coward,"懦夫"
,,coward,"胆小"
,,coward,"胆小鬼"
,,crime,"罪"
,,crime,"犯罪"
,,crime,"罪行"
,,crown,"皇冠"
,,crown,"王冠"
,,cruelty,"残忍"
,,cruelty,"残酷"
,,desk,"课桌"
,,desk,"桌子"
,,desk,"书桌"
,,difference,"差异"
,,difference,"区别"
,,dislike,"不爱"
,,dislike,"不喜欢"
,,doll,"娃娃"
,,doll,"娃娃玩具"
,,doll,"洋娃娃"
,,doll,"玩偶"
,,domain,"区域"
,,domain,"领域"
,,dove,"鸽"
,,dove,"鸽子"
,,duck,"鸭"
,,duck,"鸭子"
,,ear,"耳"
,,ear,"耳朵"
,,elbow,"胳膊肘"
,,elbow,"肘"
,,elbow,"手肘"
,,eye,"眼"
,,eye,"眼睛"
,,fair,"公平"
,,fair,"公平的"
,,fair,"公正"
,,fame,"名气"
,,fame,"名声"
,,farmer,"农民"
,,farmer,"农夫"
,,fate,"命"
,,fate,"命运"
,,father,"爸"
,,father,"父亲"
,,father,"爸爸"
,,flower,"花"
,,flower,"花朵"
,,fox,"狐狸"
,,fox,"狐"
,,frog,"蛙"
,,frog,"青蛙"
,,funeral,"丧礼"
,,funeral,"葬礼"
,,funny,"滑稽的"
,,funny,"可笑的"
,,funny,"可笑"
,,funny,"好笑的"
,,funny,"好笑"
,,garden,"花园"
,,garden,"园子"
,,garlic,"大蒜"
,,garlic,"蒜"
,,guilt,"愧疚"
,,guilt,"内疚"
,,heart,"心脏"
,,heart,"心"
,,herb,"草本"
,,herb,"药草"
,,house,"房子"
,,house,"房屋"
,,huge,"巨大的"
,,huge,"巨大"
,,huge,"非常大"
,,information,"信息"
,,information,"消息"
,,insect,"虫"
,,insect,"虫子"
,,insect,"昆虫"
,,jail,"监狱"
,,jail,"监牢"
,,jaw,"下颌"
,,jaw,"下巴"
,,lady,"女"
,,lady,"女士"
,,lawn,"草"
,,lawn,"草坪"
,,lawn,"草地"
,,leader,"领袖"
,,leader,"领导人"
,,leader,"领导者"
,,leader,"领导"
,,lightning,"闪电"
,,lightning,"电"
,,lion,"狮"
,,lion,"狮子"
,,maid,"女仆"
,,maid,"仆人"
,,maid,"女佣人"
,,maid,"女佣"
,,memory,"记性"
,,memory,"回忆"
,,memory,"记忆"
,,method,"方式"
,,method,"方法"
,,mill,"磨坊"
,,mill,"磨房"
,,money,"钱"
,,money,"金钱"
,,monk,"僧人"
,,monk,"僧"
,,monkey,"猴"
,,monkey,"猴子"
,,moon,"月球"
,,moon,"月亮"
,,moon,"月"
,,mother,"妈妈"
,,mother,"妈"
,,mother,"母亲"
,,mouse,"老鼠"
,,mouse,"鼠"
,,moustache,"小胡子"
,,moustache,"胡子"
,,moustache,"小胡须"
,,mule,"驴"
,,mule,"骡子"
,,murderer,"杀人犯"
,,murderer,"凶手"
,,murderer,"杀人凶手"
,,murderer,"谋杀犯"
,,murderer,"谋杀者"
,,nice,"好的"
,,nice,"好"
,,nice,"美好的"
,,night,"夜"
,,night,"夜里"
,,night,"夜晚"
,,night,"晚上"
,,nose,"鼻"
,,nose,"鼻子"
,,oath,"宣誓"
,,oath,"誓言"
,,owner,"主人"
,,owner,"拥有者"
,,owner,"所有者"
,,panic,"恐慌"
,,passion,"激情"
,,passion,"热情"
,,peach,"桃"
,,peach,"桃子"
,,pear,"梨"
,,pear,"梨子"
,,pencil,"笔"
,,pencil,"铅笔"
,,pine,"松"
,,pine,"松树"
,,possibility,"可能性"
,,possibility,"可能"
,,power,"权力"
,,power,"力量"
,,quarrel,"纠纷"
,,quarrel,"吵"
,,quarrel,"争吵"
,,quarrel,"吵架"
,,queen,"皇后"
,,queen,"王后"
,,queen,"女王"
,,queen,"女皇"
,,rabbit,"兔子"
,,rabbit,"兔"
,,reason,"理由"
,,reason,"原因"
,,rice,"大米"
,,rice,"米饭"
,,rice,"米"
,,rifle,"来复枪"
,,rifle,"来福枪"
,,rifle,"步枪"
,,river,"河"
,,river,"溪流"
,,river,"溪"
,,river,"河流"
,,road,"道路"
,,road,"路"
,,road,"马路"
,,road,"公路"
,,roof,"屋顶"
,,roof,"房顶"
,,roof,"房子的顶"
,,rope,"绳"
,,rope,"绳子"
,,rumour,"流言"
,,rumour,"丑闻"
,,rumour,"谣言"
,,rumour,"传言"
,,sauce,"酱料"
,,sauce,"沾料"
,,sauce,"酱"
,,scar,"伤疤"
,,scar,"疤"
,,sea,"海"
,,sea,"大海"
,,sea,"海洋"
,,shape,"形状"
,,shape,"形"
,,sheep,"绵羊"
,,sheep,"羊"
,,shoe,"鞋"
,,shoe,"鞋子"
,,shortage,"短缺"
,,shortage,"缺少"
,,shoulder,"肩膀"
,,shoulder,"肩"
,,shy,"害羞"
,,shy,"害羞的"
,,simplicity,"简单"
,,simplicity,"简单性"
,,sky,"天"
,,sky,"天空"
,,sleeve,"袖"
,,sleeve,"衣袖"
,,sleeve,"袖子"
,,smart,"聪明的"
,,smart,"聪明"
,,sock,"袜子"
,,sock,"袜"
,,spoon,"勺"
,,spoon,"勺子"
,,stone,"石头"
,,stone,"石"
,,street,"路"
,,street,"街道"
,,street,"街"
,,summer,"夏天"
,,summer,"夏"
,,sun,"太阳"
,,sun,"日"
,,tale,"传说"
,,tale,"故事"
,,tall,"高的"
,,tall,"高"
,,tear,"眼泪"
,,tear,"泪"
,,thief,"贼"
,,thief,"小偷"
,,throat,"喉咙"
,,throat,"嗓子"
,,throat,"喉"
,,thumb,"大拇指"
,,thumb,"拇指"
,,ticket,"票子"
,,ticket,"票"
,,tiger,"虎"
,,tiger,"老虎"
,,tobacco,"烟"
,,tobacco,"烟草"
,,tongue,"舌头"
,,tongue,"舌"
,,town,"城镇"
,,town,"城"
,,town,"镇"
,,triangle,"三角"
,,triangle,"三角形"
,,trousers,"长裤"
,,trousers,"裤"
,,trousers,"裤子"
,,turtle,"龟"
,,turtle,"乌龟"
,,turtle,"海龟"
,,twilight,"暮"
,,twilight,"暮光"
,,twin,"双胞胎之一"
,,twin,"双胞胎"
,,umbrella,"阳伞"
,,umbrella,"雨伞"
,,umbrella,"伞"
,,utensil,"器具"
,,utensil,"工具"
,,victim,"受害人"
,,victim,"受害者"
,,victim,"替罪羊"
,,victim,"被害人"
,,village,"村"
,,village,"村庄"
,,village,"村子"
,,wage,"薪水"
,,wage,"工资"
,,wages,"薪水"
,,wages,"工资"
,,wall,"墙壁"
,,wall,"墙"
,,wet,"湿的"
,,wet,"湿"
,,wet,"潮湿"
,,whale,"鲸鱼"
,,whale,"鲸"
,,wheel,"轮"
,,wheel,"车轮"
,,wheel,"轮子"
,,window,"窗户"
,,window,"窗"
,,winter,"冬天"
,,winter,"冬季"
,,winter,"冬"
,,wish,"愿望"
,,wish,"希望"
,,wood,"木材"
,,wood,"木头"
,,wood,"木"
,,word,"词"
,,word,"单词"
,,worth,"值"
,,worth,"价值"
,,action,"举动"
,,action,"行为"
,,action,"动作"
,,action,"行动"
,,alley,"小巷"
,,alley,"小街头"
,,alley,"小路"
,,anger,"愤怒"
,,anger,"生气"
,,anger,"怒气"
,,anger,"怒火"
,,anger,"怒"
,,attempt,"试图"
,,attempt,"尝试"
,,attempt,"企图"
,,attempt,"努力"
,,aunt,"阿姨"
,,aunt,"姨"
,,aunt,"舅妈"
,,aunt,"姨妈"
,,aunt,"姑姑"
,,bag,"口袋"
,,bag,"包"
,,bag,"袋子"
,,baker,"面包师"
,,baker,"烘培师"
,,baker,"烘培师傅"
,,base,"底"
,,base,"本"
,,base,"垒"
,,base,"基础"
,,base,"基地"
,,belt,"腰带"
,,belt,"带"
,,belt,"带子"
,,bid,"投标"
,,bid,"竞价"
,,bid,"出价"
,,blame,"怪罪"
,,blame,"谴责"
,,blame,"责备"
,,blame,"责怪"
,,blind,"瞎的"
,,blind,"瞎"
,,blind,"盲"
,,blind,"盲的"
,,blind,"失明"
,,blind,"瞎子"
,,blind,"盲人"
,,blind,"失明的"
,,block,"挡"
,,block,"堵塞"
,,block,"块"
,,block,"街区"
,,block,"阻碍"
,,bold,"大胆的"
,,bold,"加粗的"
,,bold,"大胆"
,,bold,"加粗"
,,bold,"勇敢的"
,,bold,"胆大的"
,,bold,"粗体的"
,,case,"案子"
,,case,"盒子"
,,case,"案例"
,,case,"例子"
,,case,"情况"
,,case,"案件"
,,cause,"导致"
,,cause,"引起"
,,cause,"起因"
,,cause,"原因"
,,ceiling,"屋顶"
,,ceiling,"房顶"
,,ceiling,"天花板"
,,change,"变换"
,,change,"换"
,,change,"改变"
,,change,"变化"
,,circle,"周期"
,,circle,"圆"
,,circle,"圆圈"
,,circle,"圈"
,,climate,"气候"
,,climate,"气温"
,,climate,"天气"
,,cloak,"披风"
,,cloak,"覆盖"
,,cloak,"外衣"
,,confession,"告白"
,,confession,"忏悔"
,,confession,"承认"
,,confession,"表白"
,,creation,"创造"
,,creation,"创造物"
,,creation,"创作"
,,crude,"粗糙的"
,,crude,"凶残"
,,crude,"粗糙"
,,cruel,"残酷"
,,cruel,"残忍的"
,,cruel,"凶"
,,cruel,"残酷的"
,,cruel,"冷酷的"
,,cruel,"残忍"
,,current,"现在"
,,current,"当前"
,,current,"电流"
,,curse,"骂"
,,curse,"咒"
,,curse,"咒语"
,,curse,"诅咒"
,,cycle,"自行车"
,,cycle,"周期"
,,cycle,"圈圈"
,,cycle,"循环"
,,cycle,"圈"
,,cycle,"圆"
,,dance,"舞蹈"
,,dance,"舞"
,,dance,"跳舞"
,,dawn,"晓"
,,dawn,"晨曦"
,,dawn,"黎明"
,,day,"一天"
,,day,"天"
,,day,"日子"
,,day,"日"
,,day,"白天"
,,defeat,"失败"
,,defeat,"击败"
,,defeat,"打败"
,,delay,"延迟"
,,delay,"拖延"
,,delay,"延误"
,,delay,"推迟"
,,dirt,"尘"
,,dirt,"灰尘"
,,dirt,"泥土"
,,dirt,"尘土"
,,disadvantage,"不利处"
,,disadvantage,"劣势"
,,disadvantage,"不利条件"
,,disadvantage,"不利"
,,dull,"傻的"
,,dull,"愚钝的"
,,dull,"笨"
,,dull,"沉闷的"
,,dull,"无聊的"
,,dull,"钝"
,,dull,"暗"
,,dull,"乏味"
,,dull,"傻"
,,dull,"迟钝的"
,,dust,"土"
,,dust,"尘埃"
,,dust,"灰尘"
,,dust,"灰"
,,dust,"尘"
,,dust,"尘土"
,,duty,"义务"
,,duty,"任务"
,,duty,"职责"
,,duty,"使命"
,,duty,"责任"
,,ease,"轻松"
,,ease,"放松"
,,ease,"缓和"
,,ease,"减轻"
,,ease,"容易"
,,end,"终"
,,end,"完"
,,end,"结尾"
,,end,"尽头"
,,end,"结束"
,,entry,"输入"
,,entry,"入口"
,,entry,"进口"
,,entry,"条目"
,,entry,"进入"
,,faith,"信仰"
,,faith,"信念"
,,faith,"信心"
,,field,"田地"
,,field,"田野"
,,field,"田"
,,field,"领域"
,,figure,"图像"
,,figure,"人物"
,,figure,"图形"
,,flaw,"瑕疵"
,,flaw,"错误"
,,flaw,"漏洞"
,,flaw,"缺陷"
,,form,"形"
,,form,"形成"
,,form,"表格"
,,form,"组成"
,,form,"形式"
,,form,"类型"
,,form,"形态"
,,fur,"皮"
,,fur,"皮毛"
,,fur,"毛皮"
,,gap,"缺口"
,,gap,"空隙"
,,gap,"差距"
,,gas,"燃气"
,,gas,"气"
,,gas,"汽油"
,,gas,"气体"
,,giant,"巨大的"
,,giant,"巨大"
,,giant,"巨人"
,,gold,"金色"
,,gold,"金"
,,gold,"黄金"
,,gold,"金子"
,,gold,"金的"
,,height,"身高"
,,height,"高"
,,height,"高度"
,,holy,"神圣"
,,holy,"神圣的"
,,holy,"上帝的"
,,holy,"圣洁的"
,,holy,"圣"
,,honey,"蜜"
,,honey,"蜜糖"
,,honey,"蜂蜜"
,,honey,"亲爱的"
,,honey,"甜心"
,,honey,"宝贝"
,,ink,"墨汁"
,,ink,"墨水"
,,ink,"墨"
,,jar,"罐"
,,jar,"罐头"
,,jar,"罐子"
,,jar,"广口瓶"
,,jar,"瓶"
,,joy,"欢乐"
,,joy,"乐"
,,joy,"高兴"
,,joy,"喜悦"
,,joy,"乐趣"
,,joy,"欢"
,,king,"王"
,,king,"国王"
,,king,"皇帝"
,,knife,"刀子"
,,knife,"刀"
,,knife,"餐刀"
,,lamb,"羊肉"
,,lamb,"羊羔"
,,lamb,"小羊"
,,lens,"透镜"
,,lens,"镜头"
,,lens,"镜片"
,,lens,"隐形眼镜"
,,lie,"撒谎"
,,lie,"躺"
,,lie,"谎言"
,,lie,"说谎"
,,lie,"谎"
,,luck,"好运"
,,luck,"幸运"
,,luck,"运气"
,,majority,"大部分的"
,,majority,"多数"
,,majority,"大部分"
,,majority,"大多数"
,,manner,"方法"
,,manner,"态度"
,,manner,"举止"
,,meeting,"会"
,,meeting,"见面"
,,meeting,"会议"
,,meeting,"会面"
,,message,"信息"
,,message,"消息"
,,message,"留言"
,,middle,"中"
,,middle,"中间"
,,middle,"中间的"
,,mouth,"嘴"
,,mouth,"嘴巴"
,,mouth,"口"
,,mud,"泥"
,,mud,"泥土"
,,mud,"污泥"
,,mud,"泥巴"
,,necessity,"必需品"
,,necessity,"必须"
,,necessity,"必要"
,,necessity,"必要性"
,,noble,"高尚的"
,,noble,"高贵"
,,noble,"高贵的"
,,noble,"贵族的"
,,noble,"高尚"
,,nonsense,"胡言乱语"
,,nonsense,"胡说"
,,nonsense,"废话"
,,nonsense,"胡闹"
,,odd,"奇怪"
,,odd,"单数"
,,odd,"怪"
,,odd,"奇怪的"
,,odd,"离奇"
,,odd,"单"
,,opinion,"看法"
,,opinion,"想法"
,,opinion,"意见"
,,opinion,"观点"
,,order,"指令"
,,order,"顺序"
,,order,"秩序"
,,order,"订单"
,,order,"次序"
,,order,"命令"
,,paint,"画画"
,,paint,"画"
,,paint,"颜料"
,,pair,"一双"
,,pair,"对"
,,pair,"一对"
,,pair,"双"
,,pair,"配对"
,,pants,"裤"
,,pants,"长裤"
,,pants,"牛仔裤"
,,pants,"裤子"
,,people,"人们"
,,people,"人民"
,,people,"人"
,,people,"人类"
,,pipe,"管子"
,,pipe,"管"
,,pipe,"烟斗"
,,possession,"拥有"
,,possession,"所有物"
,,possession,"占有"
,,possession,"拥有物"
,,price,"代价"
,,price,"价格"
,,price,"价钱"
,,progress,"进展"
,,progress,"进程"
,,progress,"进步"
,,progress,"过程"
,,promise,"发誓"
,,promise,"保证"
,,promise,"答应"
,,promise,"承诺"
,,promise,"许诺"
,,public,"公众的"
,,public,"公开的"
,,public,"公共"
,,public,"公众"
,,public,"公用的"
,,public,"公共的"
,,raw,"粗糙的"
,,raw,"生"
,,raw,"生的"
,,recovery,"康复"
,,recovery,"恢复"
,,recovery,"复原"
,,revenge,"复仇"
,,revenge,"报复"
,,revenge,"报仇"
,,rough,"大概的"
,,rough,"粗"
,,rough,"粗糙的"
,,rough,"粗略的"
,,rough,"粗糙"
,,rough,"艰难"
,,shame,"羞耻"
,,shame,"耻辱"
,,shame,"羞愧"
,,shame,"耻"
,,sheet,"床单"
,,sheet,"被单"
,,sheet,"单子"
,,sheet,"单"
,,sheet,"片"
,,shop,"店"
,,shop,"购物"
,,shop,"商店"
,,sign,"标识"
,,sign,"标志"
,,sign,"信号"
,,sign,"符号"
,,sign,"记号"
,,sign,"签名"
,,silence,"安静"
,,silence,"沉寂"
,,silence,"寂静"
,,silence,"沈默"
,,silence,"沉默"
,,size,"大小"
,,size,"尺码"
,,size,"尺寸"
,,skill,"技术"
,,skill,"技能"
,,skill,"能力"
,,skill,"才华"
,,skill,"技巧"
,,slave,"奴"
,,slave,"奴婢"
,,slave,"奴隶"
,,slave,"努"
,,smell,"嗅觉"
,,smell,"气味"
,,smell,"味道"
,,smell,"闻"
,,soil,"土壤"
,,soil,"泥土"
,,soil,"土地"
,,solution,"解答"
,,solution,"解决办法"
,,solution,"解法"
,,solution,"解决方法"
,,solution,"解决方案"
,,solution,"答案"
,,song,"唱歌"
,,song,"歌曲"
,,song,"歌"
,,speech,"语言"
,,speech,"演讲"
,,speech,"讲演"
,,stomach,"胃子"
,,stomach,"胃"
,,stomach,"肚子"
,,suit,"套装"
,,suit,"适合"
,,suit,"西装"
,,suit,"西服"
,,sweat,"汗水"
,,sweat,"汗"
,,sweat,"流汗"
,,taste,"味道"
,,taste,"尝"
,,taste,"品味"
,,taste,"味"
,,taste,"尝起来"
,,tension,"张力"
,,tension,"压力"
,,tension,"紧张"
,,thin,"瘦弱的"
,,thin,"细"
,,thin,"瘦的"
,,thin,"薄"
,,thin,"薄的"
,,thin,"瘦"
,,thing,"物品"
,,thing,"东西"
,,thing,"事情"
,,thing,"事"
,,thing,"事物"
,,torch,"火把"
,,torch,"手电筒"
,,torch,"火炬"
,,torch,"手电"
,,tough,"难的"
,,tough,"强硬"
,,tough,"硬"
,,tough,"困难的"
,,tough,"艰难的"
,,tough,"难"
,,uncle,"舅舅"
,,uncle,"叔叔"
,,uncle,"叔"
,,uncle,"伯伯"
,,unity,"一致"
,,unity,"统一"
,,unity,"联合"
,,virtue,"美德"
,,virtue,"道德"
,,virtue,"优点"
,,virtue,"品德"
,,watch,"表"
,,watch,"手表"
,,watch,"看"
,,wave,"浪"
,,wave,"波"
,,wave,"挥舞"
,,wave,"波浪"
,,wave,"浪头"
,,wave,"招手"
,,west,"西方"
,,west,"西部"
,,west,"西方的"
,,west,"西边"
,,west,"西"
,,will,"会"
,,will,"愿望"
,,will,"愿意"
,,will,"意愿"
,,will,"将会"
,,will,"意志"
,,will,"将要"
,,youth,"青年"
,,youth,"青春"
,,youth,"年轻"
,,abuse,"侮辱"
,,abuse,"滥用"
,,abuse,"虐待"
,,advantage,"优势"
,,advantage,"好处"
,,advantage,"优点"
,,angle,"角"
,,angle,"角度"
,,arrow,"箭头"
,,arrow,"箭"
,,art,"艺术"
,,art,"美术"
,,beauty,"美"
,,beauty,"美人"
,,birthday,"出生日"
,,birthday,"生日"
,,brother,"兄弟"
,,brother,"哥哥"
,,calf,"小腿"
,,calf,"小牛"
,,captain,"队长"
,,captain,"船长"
,,care,"关心"
,,care,"照顾"
,,coin,"币"
,,coin,"硬币"
,,contents,"目录"
,,contents,"内容"
,,criticism,"评论"
,,criticism,"批判"
,,criticism,"批评"
,,crowd,"人群"
,,crowd,"群众"
,,date,"日期"
,,date,"约会"
,,deed,"行为"
,,deed,"事迹"
,,demand,"索要"
,,demand,"需求"
,,demand,"要求"
,,descent,"下降"
,,descent,"血统"
,,despair,"绝望"
,,dress,"穿衣服"
,,dress,"穿着"
,,dress,"连衣裙"
,,eagle,"老鹰"
,,eagle,"鹰"
,,education,"文化"
,,education,"教育"
,,estimation,"估测"
,,estimation,"评价"
,,estimation,"估计"
,,exchange,"交换"
,,exchange,"兑换"
,,experience,"经历"
,,experience,"经验"
,,favour,"恩惠"
,,favour,"好处"
,,feeling,"感情"
,,feeling,"感觉"
,,feeling,"感受"
,,fly,"苍蝇"
,,fly,"飞翔"
,,fly,"飞"
,,foot,"足"
,,foot,"脚"
,,future,"未来"
,,future,"将来"
,,gift,"礼物"
,,gift,"天赋"
,,ground,"地"
,,ground,"地面"
,,ground,"土地"
,,heat,"加热"
,,heat,"热"
,,inheritance,"继承"
,,inheritance,"遗传"
,,inheritance,"遗产"
,,innocence,"清白"
,,innocence,"天真"
,,insight,"眼光"
,,insight,"洞察力"
,,interest,"兴趣"
,,interest,"利息"
,,iron,"铁"
,,iron,"铁的"
,,joke,"玩笑"
,,joke,"笑话"
,,juice,"汁"
,,juice,"果汁"
,,kitchen,"厨房的"
,,kitchen,"厨房"
,,law,"法"
,,law,"法律"
,,law,"法规"
,,mail,"邮件"
,,mail,"邮"
,,mask,"面具"
,,mask,"面膜"
,,master,"主人"
,,master,"大师"
,,master,"师父"
,,master,"主"
,,meaning,"意思"
,,meaning,"意义"
,,mercy,"仁慈"
,,mercy,"怜悯"
,,mode,"时尚"
,,mode,"模式"
,,noise,"噪音"
,,noise,"声音"
,,nurse,"护士"
,,nurse,"护理"
,,pie,"馅饼"
,,pie,"派"
,,piece,"张"
,,piece,"片"
,,piece,"碎片"
,,piece,"部分"
,,pin,"胸针"
,,pin,"大头针"
,,pity,"可怜"
,,pity,"遗憾"
,,pole,"杆"
,,pole,"极"
,,pound,"磅"
,,pound,"英磅"
,,principle,"原则"
,,principle,"规则"
,,proof,"证据"
,,proof,"验证"
,,proof,"证明"
,,proposal,"提议"
,,proposal,"计划书"
,,proposal,"提出"
,,proposal,"提案"
,,proposal,"求婚"
,,protection,"保护"
,,quality,"质量"
,,quality,"品质"
,,rail,"铁路"
,,rail,"训斥"
,,rail,"轨"
,,rail,"铁轨"
,,rain,"下雨"
,,rain,"雨"
,,regret,"后悔"
,,regret,"遗憾"
,,respect,"尊敬"
,,respect,"尊重"
,,rhythm,"节奏"
,,rhythm,"韵律"
,,riddle,"谜"
,,riddle,"谜语"
,,riot,"骚乱"
,,riot,"起义"
,,room,"屋子"
,,room,"空间"
,,room,"房间"
,,rule,"统治"
,,rule,"规则"
,,sacrifice,"奉献"
,,sacrifice,"牺牲"
,,sail,"航行"
,,sail,"帆"
,,signature,"签名"
,,signature,"签字"
,,silk,"丝绸"
,,silk,"丝"
,,silk,"丝滑"
,,silver,"银"
,,silver,"银的"
,,sister,"妹妹"
,,sister,"姐妹"
,,smoke,"吸烟"
,,smoke,"烟"
,,smoke,"抽烟"
,,snow,"雪"
,,snow,"下雪"
,,straw,"草"
,,straw,"吸管"
,,strength,"强度"
,,strength,"力度"
,,surprise,"惊讶"
,,surprise,"惊喜"
,,surprise,"惊奇"
,,tag,"吊牌"
,,tag,"标签"
,,tail,"尾巴"
,,tail,"跟踪"
,,task,"任务"
,,task,"作业"
,,thought,"思想"
,,thought,"想法"
,,threat,"恐吓"
,,threat,"威胁"
,,trade,"贸易"
,,trade,"交易"
,,train,"火车"
,,train,"训练"
,,treaty,"条约"
,,treaty,"合约"
,,trunk,"象鼻"
,,trunk,"后备箱"
,,trunk,"树干"
,,truth,"事实"
,,truth,"真相"
,,truth,"真理"
,,truth,"实话"
,,weakness,"软弱"
,,weakness,"弱"
,,weakness,"缺点"
,,weakness,"缺陷"
,,weakness,"弱点"
,,wing,"翅膀"
,,wing,"翼"
,,wire,"线"
,,wire,"电线"
,,wisdom,"明智"
,,wisdom,"智慧"
,,woman,"女性"
,,woman,"女人"
,,airplane,"飞机"
,,ant,"蚂蚁"
,,apple,"苹果"
,,author,"作者"
,,ball,"球"
,,bath,"洗澡"
,,bench,"长椅"
